author_1,author_2,shared_paper_count
Nakov P.,Barrón-Cedeño A.,9
Nakov P.,Da San Martino G.,9
Nakov P.,Alam F.,7
Kutlu M.,Kartal Y.S.,6
Nakov P.,Elsayed T.,6
Nakov P.,Hasanain M.,6
Shaar S.,Alam F.,6
Shaar S.,Nakov P.,6
Da San Martino G.,Barrón-Cedeño A.,5
Elsayed T.,Barrón-Cedeño A.,5
Elsayed T.,Haouari F.,5
Elsayed T.,Hasanain M.,5
Roitero K.,Mizzaro S.,5
Roitero K.,Soprano M.,5
Soprano M.,Mizzaro S.,5
Suwaileh R.,Elsayed T.,5
Abdelzaher T.,Kaplan L.,4
Abdelzaher T.,Su L.,4
Alam F.,Barrón-Cedeño A.,4
Alam F.,Nikolov A.,4
Babulkov N.,Alam F.,4
Barrón-Cedeño A.,Nikolov A.,4
Da San Martino G.,Alam F.,4
Demartini G.,Mizzaro S.,4
Demartini G.,Roitero K.,4
Demartini G.,Soprano M.,4
Demartini G.,Spina D.,4
Hasanain M.,Barrón-Cedeño A.,4
Kaplan L.,Su L.,4
Kartal Y.S.,Alam F.,4
Kartal Y.S.,Barrón-Cedeño A.,4
Kartal Y.S.,Nikolov A.,4
Kevin Roitero,Gianluca Demartini,4
Kutlu M.,Alam F.,4
Kutlu M.,Barrón-Cedeño A.,4
Kutlu M.,Nikolov A.,4
Mubarak H.,Alam F.,4
Míguez R.,Alam F.,4
Míguez R.,Barrón-Cedeño A.,4
Míguez R.,Kartal Y.S.,4
Míguez R.,Kutlu M.,4
Míguez R.,Nakov P.,4
Míguez R.,Nikolov A.,4
Míguez R.,Shaar S.,4
Nakov P.,Babulkov N.,4
Nakov P.,Kartal Y.S.,4
Nakov P.,Kutlu M.,4
Nakov P.,Mubarak H.,4
Nakov P.,Nikolov A.,4
Nakov P.,Zaghouani W.,4
Roitero K.,Spina D.,4
Shaar S.,Babulkov N.,4
Shaar S.,Barrón-Cedeño A.,4
Shaar S.,Kartal Y.S.,4
Shaar S.,Kutlu M.,4
Shaar S.,Mubarak H.,4
Shaar S.,Nikolov A.,4
Spina D.,Mizzaro S.,4
Spina D.,Soprano M.,4
Suwaileh R.,Barrón-Cedeño A.,4
Suwaileh R.,Nakov P.,4
Wang D.,Zhang Y.,4
Yao S.,Abdelzaher T.,4
Yao S.,Kaplan L.,4
Yao S.,Su L.,4
Zaghouani W.,Barrón-Cedeño A.,4
Abdelzaher T.,Zhao Y.,3
Babulkov N.,Mubarak H.,3
Caselli T.,Alam F.,3
Caselli T.,Barrón-Cedeño A.,3
Caselli T.,Kartal Y.S.,3
Caselli T.,Kutlu M.,3
Caselli T.,Li C.,3
Caselli T.,Mubarak H.,3
Caselli T.,Nikolov A.,3
Caselli T.,Zaghouani W.,3
Ceolin D.,Mizzaro S.,3
Ceolin D.,Soprano M.,3
da San Martino G.,Alam F.,3
Da San Martino G.,Hasanain M.,3
Da San Martino G.,Mubarak H.,3
Da San Martino G.,Zaghouani W.,3
Damiano Spina,Gianluca Demartini,3
Demartini G.,Ceolin D.,3
Elsayed T.,Da San Martino G.,3
Hasanain M.,Alam F.,3
Hasanain M.,Haouari F.,3
Kaplan L.,Zhao Y.,3
Kevin Roitero,Damiano Spina,3
Li C.,Alam F.,3
Li C.,Barrón-Cedeño A.,3
Li C.,Kartal Y.S.,3
Li C.,Kutlu M.,3
Li C.,Nikolov A.,3
Mubarak H.,Barrón-Cedeño A.,3
Mubarak H.,Kartal Y.S.,3
Mubarak H.,Kutlu M.,3
Mubarak H.,Li C.,3
Mubarak H.,Nikolov A.,3
Míguez R.,Caselli T.,3
Míguez R.,Li C.,3
Míguez R.,Mubarak H.,3
Míguez R.,Zaghouani W.,3
Nakov P.,Caselli T.,3
Nakov P.,da San Martino G.,3
Nakov P.,Haouari F.,3
Nakov P.,Li C.,3
Roitero K.,Ceolin D.,3
Shaar S.,Caselli T.,3
Shaar S.,Da San Martino G.,3
Shaar S.,da San Martino G.,3
Shaar S.,Li C.,3
Shaar S.,Zaghouani W.,3
Shahi G.K.,Mandl T.,3
Shao H.,Abdelzaher T.,3
Shao H.,Kaplan L.,3
Shao H.,Su L.,3
