topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,142,"news, fake, detection, model, information, models, social, media, learning, accuracy"
0,T000,Misinformation & Propaganda,25,"multimodal, visual, fake, news, textual, detection, image, images, information, content"
1,T001,Fact-Checking & Verification,16,"sources, evidence, claims, factchecking, information, afc, automated, statements, claim, veracity"
2,T002,"evidence, graph",16,"evidence, graph, claim, verification, fact, fever, attention, sentences, interaction, label"
3,T003,Misinformation & Propaganda,15,"covid19, health, pandemic, data, misinformation, people, social, disease, online, votes"
4,T004,Fact-Checking & Verification,15,"rumor, stance, conversation, stances, veracity, multitask, rumors, controversies, tasks, sequence"
5,T005,"discovery, truth",14,"discovery, truth, sources, sensing, observations, claims, reliability, data, factfinding, scheme"
6,T006,"task, lab",13,"task, lab, arabic, cqa, answer, english, question, evaluation, political, answers"
7,T007,Credibility Assessment,13,"users, twitter, tweets, centrality, credibility, social, used, popularity, trustworthiness, microblogs"
8,T008,Misinformation & Propaganda,13,"machine, regression, news, logistic, svm, fake, real, forest, false, random"
9,T009,Misinformation & Propaganda,12,"news, fake, ensemble, linguistic, machine, features, classifier, adaboost, using, feature"
10,T010,"images, image",12,"images, image, video, news, forgeries, analysis, verification, content, digital, information"
11,T011,Rumor on Social Media,11,"rumour, rumor, rumors, twitter, rumours, tweets, social, false, spread, 2017"
12,T012,Crowdsourced Analysis,10,"workers, crowd, truthfulness, crowdsourcing, statements, quality, mws, assessments, sensing, covid19"
13,T013,Misinformation & Propaganda,10,"fake, news, synthetic, adversarial, detection, text, sve, models, machinegenerated, potential"
14,T014,Journalism & Media Studies,9,"media, social, content, communities, approach, posts, method, use, states, hoaxes"
15,T015,Misinformation & Propaganda,9,"knowledge, news, semantic, factbased, methods, graphs, external, detection, comments, fake"
16,T016,"retrieval, fever",8,"retrieval, fever, sentences, task, claim, evidence, wikipedia, documents, document, sentence"
17,T017,Misinformation & Propaganda,8,"news, domains, engagement, crossdomain, fake, users, social, publishers, media, credibility"
18,T018,"interpretability, automated",8,"interpretability, model, automated, claim, explanations, predictions, external, evidence, counterfactual, approaches"
19,T019,"motive, recognition",8,"motive, recognition, lie, truth, deception, statements, humans, facial, rm, language"
20,T020,Fact-Checking & Verification,8,"aigenerated, detection, annotated, aiguardian, news, debunking, veracity, crowds, wisdom, justifications"
21,T021,Fact-Checking & Verification,7,"internet, healthcare, factchecking, algorithm, crowdsourcing, source, newspapers, checks, agent, online"
22,T022,Misinformation & Propaganda,7,"news, fake, model, neural, dataset, network, branch, cnn, classic, articles"
23,T023,Misinformation & Propaganda,7,"news, propagation, early, fake, graph, detection, network, neural, networks, model"
24,T024,Fact-Checking & Verification,7,"search, web, pages, ranking, 2019, statement, runs, usefulness, factchecking, claims"
25,T025,"claimevidence, labeled",7,"claimevidence, labeled, claim, domain, unlabeled, pairs, verification, propose, train, data"
26,T026,"learning, machine",6,"news, learning, machine, bilstm, lstm, naive, feature, covid19, lstmrf, covaxreality"
27,T027,Fact-Checking & Verification,6,"factchecking, explanations, ebart, explainable, faxplainac, human, explanation, kg, claims, rl"
28,T028,"checking, multiclaim",6,"checking, multiclaim, statement, fact, category, claims, kgs, multiple, kg, knowledge"
29,T029,Fact-Checking & Verification,6,"reasoning, process, pacar, folk, qacheck, factchecking, verification, claim, structure, fact"
30,T030,"facts, urref",6,"facts, urref, ontology, knowledge, fact, bases, uncertainty, source, patterns, triple"
31,T031,"reviews, opinions",5,"reviews, opinions, word, deceptive, features, online, classification, deposits, treebased, character"
32,T032,Misinformation & Propaganda,5,"lstm, adadelta, adam, deep, optimization, news, 5lcnn, media, learning, fake"
33,T033,Misinformation & Propaganda,5,"mbilstm, news, social, fake, weight, media, bilstm, proposed, user, research"
34,T034,"llms, untruthful",5,"llms, untruthful, climate, llm, hallucinations, context, fnd, tacs, capefnd, gpt35turbo"
35,T035,"analytical, real",5,"analytical, real, news, blockchain, reasoning, associated, studies, ai, fulllength, contract"
36,T036,Rumor on Social Media,5,"rumor, learning, layer, machine, rumors, network, deep, information, neural, layers"
37,T037,Fact-Checking & Verification,5,"evidence, retrieval, relevance, multimodal, probability, final, claim, perevidence, mocheg, factchecking"
