embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,4,"reviews, review",141,,10.4153385,4.0337634,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",150,,10.298179,4.090025,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",261,,10.449217,3.9778316,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",319,,10.431908,3.881976,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",321,,10.504576,3.9609442,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",327,,10.24392,4.133804,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",341,,10.513161,3.9408176,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",376,,10.370654,4.0633845,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",457,,10.306341,4.2737412,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",559,,10.402424,3.9951608,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",717,,10.4139185,4.0005836,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",729,,10.50502,3.8795695,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",732,,10.370438,4.0046515,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",734,,10.296412,4.0976114,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",760,,10.191923,4.173012,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",767,,10.370972,4.072063,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
all-MiniLM-L6-v2,4,"reviews, review",781,,10.418518,4.0470138,0.1622707098722458,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.16",True
