embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-mpnet-base-v2,6,Misinformation & Propaganda,128,,6.1538744,14.14999,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,254,,6.142849,14.140983,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,281,,6.113677,14.107225,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,318,,6.110409,14.098733,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,326,,6.1484704,14.149483,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,331,,6.1241035,14.110696,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,338,,6.158811,14.157511,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,388,,6.1614456,14.146948,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,411,,6.0285387,13.965425,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,419,,6.22006,14.206757,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,468,,6.204701,14.204646,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,474,,5.9489746,13.968929,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
all-mpnet-base-v2,6,Misinformation & Propaganda,571,,6.0820866,13.969283,0.13188984990119934,"(np.float64(1.0), np.float64(0.596078431372549), np.float64(0.5882352941176471), np.float64(1.0))","T6
0.13",True
