id,source,query,doi,url,title,author,year,keywords,series,venue,location,citations_number,paper_type,abstract,model_answer,model_explanation,version,raw_llm_output
4752,Scopus,/Fake News Authenticity Detection,10.1109/ICITR54349.2021.9657257,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124539831&doi=10.1109%2fICITR54349.2021.9657257&partnerID=40&md5=443d477a75893884934b3ddbda996965,Ontology Based Fake News Detection for Sinhala Language,Bandara O.; Jayarathne D.; Shashinika D.; Ranathunga L.,2021,fake news; named entity recognition; natural language processing; ontology-based information extraction,,"Proceedings of 6th International Conference on Information Technology Research: Digital Resilience and Reinvention, ICITR 2021",,1.0,Conference paper,"With the current trend in extensive use of internet technologies, people are accustomed to a life of being online. Similar phenomena apply for news awareness as well where social media has become one of the main sources of information of these tech-savvy people. Even though it gives easy access to information, there is a problem with the trustworthiness and authenticity of the news posted on social media. As such, fake news detection in social media platforms has become an active research area. Despite that, for the Sinhala language, there are only a few attempts carried out to detect fake news. With this background, this research project has come up with a novel idea of ontology-based fake news detection for news published using Sinhala language. We believe that content-based fake news identification is the most appropriate method to assess the truthiness of a news article and our system was able to give promising results in detecting fake news.  © 2021 IEEE.",Yes,"The paper titled ""Ontology Based Fake News Detection for Sinhala Language"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates an automated ontology‑based method for detecting fake news, explicitly framing the task as assessing the truthiness of news articles in the context of misinformation detection. Moreover, the study proposes a conceptual ontology framework for evaluating the veracity of claims and reports experimental results, thereby providing a methodological contribution to truthfulness assessment in fact‑checking. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Ontology Based Fake News Detection for Sinhala Language"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates an automated ontology‑based method for detecting fake news, explicitly framing the task as assessing the truthiness of news articles in the context of misinformation detection. Moreover, the study proposes a conceptual ontology framework for evaluating the veracity of claims and reports experimental results, thereby providing a methodological contribution to truthfulness assessment in fact‑checking. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking."
4122,Scopus,/Information Trustworthiness Evaluation,10.1007/s10458-022-09569-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135383313&doi=10.1007%2fs10458-022-09569-3&partnerID=40&md5=5fa1e2a62be2ed5d1bad13a8ef262140,Towards an axiomatic approach to truth discovery,Singleton J.; Booth R.,2022,Axioms; Social choice theory; Trust and reputation; Truth discovery,,Autonomous Agents and Multi-Agent Systems,,4.0,Article,"The problem of truth discovery, i.e., of trying to find the true facts concerning a number of objects based on reports from various information sources of unknown trustworthiness, has received increased attention recently. The problem is made interesting by the fact that the relative believability of facts depends on the trustworthiness of their sources, which in turn depends on the believability of the facts the sources report. Several algorithms for truth discovery have been proposed, but their evaluation has mainly been performed experimentally by computing accuracy against large datasets. Furthermore, it is often unclear how these algorithms behave on an intuitive level. In this paper we take steps towards a framework for truth discovery which allows comparison and evaluation of algorithms based instead on their theoretical properties. To do so we pose truth discovery as a social choice problem, and formulate various axioms that any reasonable algorithm should satisfy. Along the way we provide an axiomatic characterisation of the baseline ‘Voting’ algorithm—which leads to an impossibility result showing that a certain combination of the axioms cannot hold simultaneously—and check which axioms a particular well-known algorithm satisfies. We find that, surprisingly, our more fundamental axioms do not hold, and propose modifications to the algorithms to partially fix these problems. © 2022, The Author(s).",Yes,"The paper “Towards an axiomatic approach to truth discovery” meets all inclusion criteria. It is written in English and appears as a peer‑reviewed journal article in *Autonomous Agents and Multi‑Agent Systems*. The work directly investigates algorithms for assessing the truthfulness of factual claims based on reports from sources of unknown trustworthiness, which is a core component of fact‑checking and misinformation detection. Moreover, the authors contribute a theoretical framework by formulating axioms for truth‑discovery methods, providing an axiomatic characterisation, and analysing algorithmic properties, thereby offering a conceptual basis for evaluating truthfulness assessment.",prompt-CoT,"Yes

The paper “Towards an axiomatic approach to truth discovery” meets all inclusion criteria. It is written in English and appears as a peer‑reviewed journal article in *Autonomous Agents and Multi‑Agent Systems*. The work directly investigates algorithms for assessing the truthfulness of factual claims based on reports from sources of unknown trustworthiness, which is a core component of fact‑checking and misinformation detection. Moreover, the authors contribute a theoretical framework by formulating axioms for truth‑discovery methods, providing an axiomatic characterisation, and analysing algorithmic properties, thereby offering a conceptual basis for evaluating truthfulness assessment."
2514,Scopus,/Information Authenticity Detection,10.3390/sym15122096,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180465885&doi=10.3390%2fsym15122096&partnerID=40&md5=893e5a16493dc7ecf01412dfebf7680e,Exploring Symmetry in Digital Image Forensics Using a Lightweight Deep-Learning Hybrid Model for Multiple Smoothing Operators,Agarwal S.; Jung K.-H.,2023,fake image; image filtering detection; image forensic; image forgery; image manipulation detection; image smoothing,,Symmetry,,1.0,Article,"Digital images are widely used for informal information sharing, but the rise of fake photos spreading misinformation has raised concerns. To address this challenge, image forensics is employed to verify the authenticity and trustworthiness of these images. In this paper, an efficient scheme for detecting commonly used image smoothing operators is presented while maintaining symmetry. A new lightweight deep-learning network is proposed, which is trained with three different optimizers to avoid downsizing to retain critical information. Features are extracted from the activation function of the global average pooling layer in three trained deep networks. These extracted features are then used to train a classification model with an SVM classifier, resulting in significant performance improvements. The proposed scheme is applied to identify averaging, Gaussian, and median filtering with various kernel sizes in small-size images. Experimental analysis is conducted on both uncompressed and JPEG-compressed images, showing superior performance compared to existing methods. Notably, there are substantial improvements in detection accuracy, particularly by 6.50% and 8.20% for 32 × 32 and 64 × 64 images when subjected to JPEG compression at a quality factor of 70. © 2023 by the authors.",Yes,"The paper titled ""Exploring Symmetry in Digital Image Forensics Using a Lightweight Deep-Learning Hybrid Model for Multiple Smoothing Operators"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed journal article published in Symmetry, indicating that it is a legitimate publication type. The paper directly investigates an automated deep‑learning and SVM‑based technique for assessing the authenticity and trustworthiness of digital images, which is a form of truthfulness assessment in the context of misinformation detection and fact‑checking. Furthermore, the study reports quantitative evaluation metrics such as detection accuracy improvements, demonstrating a clear performance assessment of the proposed truthfulness‑verification method. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Exploring Symmetry in Digital Image Forensics Using a Lightweight Deep-Learning Hybrid Model for Multiple Smoothing Operators"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed journal article published in Symmetry, indicating that it is a legitimate publication type. The paper directly investigates an automated deep‑learning and SVM‑based technique for assessing the authenticity and trustworthiness of digital images, which is a form of truthfulness assessment in the context of misinformation detection and fact‑checking. Furthermore, the study reports quantitative evaluation metrics such as detection accuracy improvements, demonstrating a clear performance assessment of the proposed truthfulness‑verification method. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking."
6248,ACM,Information Veracity Assessment,10.1145/3322645.3322688,https://doi.org/10.1145/3322645.3322688,Online News Veracity Assessment Using Emotional Weight,"Tarmizi, Fatin Amanina Ahmad and Tan, Phan Xuan and Sharif, Khaironi Yatim and Kamioka, Eiji",2019,"Veracity assessment, affective science, deception detection, emotion analysis, text analysis",ICISS '19,Proceedings of the 2nd International Conference on Information Science and Systems,"Tokyo, Japan",0.0,,"Trillions of data are being created every day on the Internet due to the growing number of social platforms on the World Wide Web (WWW). Processed data when given in context makes information of any knowledge. However, irresponsible use of the data or misinterpretation of data could be the reasons for false information dissemination. Many researchers from various fields, such as computer science and social science, draw their focus on assessing the veracity of information. There are many techniques to perceive this topic, for instance, social network behaviour, and semantic analysis. The common practice is using semantic analysis approach, where the syntactic structure is analysed and polarity of the texts is determined. In this paper, we approach the veracity assessment by using emotion analysis. We identified emotional states conveyed in news content and calculated the weight of each state in each news content. Contrary to popular belief, our finding showed that emotional, or affective states conveyed in false news are varied - positive and negative states. The distinct feature is the weight of the states in news content. Using multi-layer perceptron, we classified the news and achieved 90\% accuracy with our collected dataset and 85\% using LIAR dataset.",Yes,"The paper titled ""Online News Veracity Assessment Using Emotional Weight"" should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears in the peer‑reviewed Proceedings of the 2nd International Conference on Information Science and Systems, indicating a legitimate conference publication. The study directly investigates an automated method for assessing the truthfulness of online news by analyzing emotional states in the text and classifying veracity with a multi‑layer perceptron, which places the work squarely in the fact‑checking and misinformation detection domain. Moreover, the authors evaluate their approach using accuracy (90 % on a collected dataset and 85 % on the LIAR dataset), providing clear quantitative metrics for truthfulness assessment. Consequently, the paper offers a relevant technical contribution to truthfulness evaluation in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Online News Veracity Assessment Using Emotional Weight"" should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears in the peer‑reviewed Proceedings of the 2nd International Conference on Information Science and Systems, indicating a legitimate conference publication. The study directly investigates an automated method for assessing the truthfulness of online news by analyzing emotional states in the text and classifying veracity with a multi‑layer perceptron, which places the work squarely in the fact‑checking and misinformation detection domain. Moreover, the authors evaluate their approach using accuracy (90 % on a collected dataset and 85 % on the LIAR dataset), providing clear quantitative metrics for truthfulness assessment. Consequently, the paper offers a relevant technical contribution to truthfulness evaluation in fact‑checking."
3092,Scopus,/Information Veracity Detection,10.1037/xge0001381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158118488&doi=10.1037%2fxge0001381&partnerID=40&md5=93c4ad3fc7af527206a0e3903010c1d1,Truth Sensitivity and Partisan Bias in Responses to Misinformation,Gawronski B.; Ng N.L.; Luke D.M.,2023,misinformation; partisan bias; signal detection; social media; truth discernment,,Journal of Experimental Psychology: General,,14.0,Article,"Misinformation represents one of the greatest challenges for the functioning of societies in the information age. Drawing on a signal-detection framework, the current research investigated two distinct aspects of misinformation susceptibility: truth sensitivity, conceptualized as accurate discrimination between true and false information, and partisan bias, conceptualized as lower acceptance threshold for ideology-congruent information compared to ideology-incongruent information. Four preregistered experiments (n= 2,423) examined (a) truth sensitivity and partisan bias in veracity judgments and decisions to share information and (b) determinants and correlates of truth sensitivity and partisan bias in responses to misinformation. Although participants were able to distinguish between true and false information to a considerable extent, sharing decisions were largely unaffected by actual information veracity. A strong partisan bias emerged for both veracity judgments and sharing decisions, with partisan bias being unrelated to the overall degree of truth sensitivity. While truth sensitivity increased as a function of cognitive reflection during encoding, partisan bias increased as a function of subjective confidence. Truth sensitivity and partisan bias were both associated with misinformation susceptibility, but partisan bias was a stronger and more reliable predictor of misinformation susceptibility than truth sensitivity. Implications and open questions for future research are discussed. © 2023 American Psychological Association",Yes,"The paper titled ""Truth Sensitivity and Partisan Bias in Responses to Misinformation"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed journal article, indicating that it is a legitimate publication type. The paper directly investigates truth sensitivity—accurate discrimination between true and false information—and partisan bias in veracity judgments and sharing decisions, situating this work within the broader context of misinformation and fact‑checking. Moreover, the study employs a signal‑detection framework, providing quantitative metrics such as sensitivity and bias measures to evaluate truthfulness, thereby contributing both methodological and conceptual insights for assessing claim veracity. Overall, the paper offers a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes
The paper titled ""Truth Sensitivity and Partisan Bias in Responses to Misinformation"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed journal article, indicating that it is a legitimate publication type. The paper directly investigates truth sensitivity—accurate discrimination between true and false information—and partisan bias in veracity judgments and sharing decisions, situating this work within the broader context of misinformation and fact‑checking. Moreover, the study employs a signal‑detection framework, providing quantitative metrics such as sensitivity and bias measures to evaluate truthfulness, thereby contributing both methodological and conceptual insights for assessing claim veracity. Overall, the paper offers a relevant contribution to the field of truthfulness assessment in fact‑checking."
3237,ACM,Fact-checking Veracity Debunking,10.1145/3485447.3512263,https://doi.org/10.1145/3485447.3512263,Veracity-aware and Event-driven Personalized News Recommendation for Fake News Mitigation,"Wang, Shoujin and Xu, Xiaofei and Zhang, Xiuzhen and Wang, Yan and Song, Wenzhuo",2022,"Fake news detection, Fake news mitigation, News recommendation, Recommender systems",WWW '22,Proceedings of the ACM Web Conference 2022,"Virtual Event, Lyon, France",0.0,,"Despite the tremendous efforts by social media platforms and fact-check services for fake news detection, fake news and misinformation still spread wildly on social media platforms (e.g., Twitter). Consequently, fake news mitigation strategies are urgently needed. Most of the existing work on fake news mitigation focuses on the overall mitigation on a whole social network while ignoring developing concrete mitigation strategies to deter individual users from sharing fake news. In this paper, we propose a novel veracity-aware and event-driven recommendation model to recommend personalised corrective true news to individual users for effectively debunking fake news. Our proposed model Rec4Mit (Recommendation for Mitigation) not only effectively captures a user’s current reading preference with a focus on which event, e.g., US election, from her/his recent reading history containing true and/or fake news, but also accurately predicts the veracity (true or fake) of candidate news. As a result, Rec4Mit can recommend the most suitable true news to best match the user’s preference as well as to mitigate fake news. In particular, for those users who have read fake news of a certain event, Rec4Mit is able to recommend the corresponding true news of the same event. Extensive experiments on real-world datasets show Rec4Mit significantly outperforms the state-of-the-art news recommendation methods in terms of the capability to recommend personalized true news for fake news mitigation.",Yes,"The paper titled ""Veracity-aware and Event-driven Personalized News Recommendation for Fake News Mitigation"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it appears in the Proceedings of the ACM Web Conference 2022, a peer‑reviewed conference proceeding, confirming its publication type. The study directly investigates an automated technique that predicts the veracity (true or fake) of news items and uses this assessment to recommend personalized corrective true news, thereby addressing truthfulness assessment in the context of misinformation detection and fact‑checking. Moreover, the authors conduct extensive experiments and report performance improvements over state‑of‑the‑art methods, providing quantitative evaluation metrics for the truthfulness‑aware recommendation approach. Consequently, the paper makes a relevant technical contribution to evaluating and mitigating fake news through truthfulness assessment.",prompt-CoT,"Yes

The paper titled ""Veracity-aware and Event-driven Personalized News Recommendation for Fake News Mitigation"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it appears in the Proceedings of the ACM Web Conference 2022, a peer‑reviewed conference proceeding, confirming its publication type. The study directly investigates an automated technique that predicts the veracity (true or fake) of news items and uses this assessment to recommend personalized corrective true news, thereby addressing truthfulness assessment in the context of misinformation detection and fact‑checking. Moreover, the authors conduct extensive experiments and report performance improvements over state‑of‑the‑art methods, providing quantitative evaluation metrics for the truthfulness‑aware recommendation approach. Consequently, the paper makes a relevant technical contribution to evaluating and mitigating fake news through truthfulness assessment."
5752,Scopus,/Information Authenticity Detection,10.1155/2020/8830310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098711941&doi=10.1155%2f2020%2f8830310&partnerID=40&md5=b74b9c297256db65a5586ccb968e15ea,Seam-Carved Image Tampering Detection Based on the Cooccurrence of Adjacent LBPs,Zhang D.; Chen X.; Li F.; Sangaiah A.K.; Ding X.,2020,,,Security and Communication Networks,,27.0,Article,"Seam carving has been widely used in image resizing due to its superior performance in avoiding image distortion and deformation, which can maliciously be used on purpose, such as tampering contents of an image. As a result, seam-carving detection is becoming crucially important to recognize the image authenticity. However, existing methods do not perform well in the accuracy of seam-carving detection especially when the scaling ratio is low. In this paper, we propose an image forensic approach based on the cooccurrence of adjacent local binary patterns (LBPs), which employs LBP to better display texture information. Specifically, a total of 24 energy-based, seam-based, half-seam-based, and noise-based features in the LBP domain are applied to the seam-carving detection. Moreover, the cooccurrence features of adjacent LBPs are combined to highlight the local relationship between LBPs. Besides, SVM after training is adopted for feature classification to determine whether an image is seam-carved or not. Experimental results demonstrate the effectiveness in improving the detection accuracy with respect to different scaling ratios, especially under low scaling ratios.  © 2020 Dengyong Zhang et al.",Yes,"The paper titled “Seam‑Carved Image Tampering Detection Based on the Cooccurrence of Adjacent LBPs” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears as a peer‑reviewed journal article in *Security and Communication Networks*. The study directly investigates an automated technique (LBP‑based feature extraction combined with an SVM classifier) for assessing the truthfulness of visual content by detecting seam‑carving tampering, which is relevant to misinformation detection. The abstract reports experimental results that demonstrate detection accuracy under various scaling ratios, providing quantitative evaluation metrics for the truthfulness assessment method. Consequently, the paper contributes a technically grounded approach to evaluating the authenticity of images within the broader fact‑checking and misinformation‑detection domain.",prompt-CoT,"Yes
The paper titled “Seam‑Carved Image Tampering Detection Based on the Cooccurrence of Adjacent LBPs” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears as a peer‑reviewed journal article in *Security and Communication Networks*. The study directly investigates an automated technique (LBP‑based feature extraction combined with an SVM classifier) for assessing the truthfulness of visual content by detecting seam‑carving tampering, which is relevant to misinformation detection. The abstract reports experimental results that demonstrate detection accuracy under various scaling ratios, providing quantitative evaluation metrics for the truthfulness assessment method. Consequently, the paper contributes a technically grounded approach to evaluating the authenticity of images within the broader fact‑checking and misinformation‑detection domain."
7515,ACM,Claim Trustworthiness Assessment,10.1145/3132847.3133182,https://doi.org/10.1145/3132847.3133182,ClaimVerif: A Real-time Claim Verification System Using the Web and Fact Databases,"Zhi, Shi and Sun, Yicheng and Liu, Jiayi and Zhang, Chao and Han, Jiawei",2017,"text mining, source credibility analysis, rumor detection, fact checking",CIKM '17,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,"Singapore, Singapore",0.0,,"Our society is increasingly digitalized. Every day, a tremendous amount of information is being created, shared, and digested through all kinds of cyber channels. Although people can easily acquire information from various sources (social media, news articles, etc.), the truthfulness of most received information remains unverified. In many real-life scenarios, false information has become the de facto cause that leads to detrimental decision makings, and techniques that can automatically filter false information are highly demanded. However, verifying whether a piece of information is trustworthy is difficult because: (1) selecting candidate snippets for fact checking is nontrivial; and (2) detecting supporting evidences, i.e. stances, suffers from the difficulty of measuring the similarity between claims and related evidences. We build ClaimVerif, a claim verification system that not only provides credibility assessment for any user-given query claim, but also rationales the assessment results with supporting evidences. ClaimVerif can automatically select the stances from millions of documents and employs two-step training to justify the opinions of the stances. Furthermore, combined with the credibility of stances sources, ClaimVerif degrades the score of stances from untrustworthy sources and alleviates the negative effects from rumor spreaders. Our empirical evaluations show that ClaimVerif achieves both high accuracy and efficiency in different claim verification tasks. It can be highly useful in practical applications by providing multi-dimension analysis for the suspicious statements, including the stances, opinions, source credibility and estimated judgements.",Yes,"The paper titled ""ClaimVerif: A Real-time Claim Verification System Using the Web and Fact Databases"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates an automated claim verification system that assesses the truthfulness of user‑given claims, integrates source credibility, stance selection, and evidence justification, and situates this work within the fact‑checking and misinformation detection domain. Furthermore, the study reports empirical evaluations using accuracy (and implicitly other standard metrics) to demonstrate the performance of the system, thereby providing concrete evaluation metrics for truthfulness assessment. Overall, the paper provides a relevant technical contribution to the evaluation of truthfulness in fact‑checking.",prompt-CoT,"Yes

The paper titled ""ClaimVerif: A Real-time Claim Verification System Using the Web and Fact Databases"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates an automated claim verification system that assesses the truthfulness of user‑given claims, integrates source credibility, stance selection, and evidence justification, and situates this work within the fact‑checking and misinformation detection domain. Furthermore, the study reports empirical evaluations using accuracy (and implicitly other standard metrics) to demonstrate the performance of the system, thereby providing concrete evaluation metrics for truthfulness assessment. Overall, the paper provides a relevant technical contribution to the evaluation of truthfulness in fact‑checking."
840,Scopus,/Fact Checking Veracity Detection-,10.1007/s11042-023-17115-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174228343&doi=10.1007%2fs11042-023-17115-w&partnerID=40&md5=0a7db8bd020c6cea96ae132182c1707f,Fake news detection using dual BERT deep neural networks,Farokhian M.; Rafe V.; Veisi H.,2024,BERT; Fake news detection; MaxWorth; MWPBert; Transfer learning; Transformers,,Multimedia Tools and Applications,,4.0,Article,"Fake news is a growing challenge for social networks and media. Detection of fake news always has been a problem for many years, but the evolution of social networks and increasing speed of news dissemination in recent years has been considered again. There are several approaches to solving this problem, one of which is to detect fake news based on its text style using deep neural networks. In recent years, transfer learning with transformers is one of the most used forms of deep neural networks for natural language processing. BERT is one of the most promising transformers that outperforms other models in many NLP benchmarks. In this article, we introduce MWPBert, which uses two parallel BERT networks to perform veracity detection on full-text news articles. One of the BERT networks encodes news headline, and another encodes news bodies. Since the input length of the BERT network is limited and constant and the news body is usually a long text, we cannot feed the whole text into the BERT. Therefore, using the MaxWorth algorithm, we selected the part of the news text that is more valuable for fact-checking, and fed it into the BERT network. Finally, we encode the output of the two BERT networks to an output network to classify the news. The experiment results showed that the proposed model outperformed previous models regarding accuracy and other performance measures. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",Yes,"The paper titled “Fake news detection using dual BERT deep neural networks” should be included in the systematic review because it meets all required criteria. It is written in English and appears as a peer‑reviewed journal article in *Multimedia Tools and Applications*. The study directly investigates an automated technique—dual BERT networks combined with a MaxWorth selection algorithm—for veracity (truthfulness) detection of full‑text news articles, which is explicitly situated in the fact‑checking/misinformation detection domain. The abstract reports experimental results that compare the proposed model to prior work using accuracy and other performance measures, thereby providing concrete evaluation metrics for truthfulness assessment. Consequently, the paper offers a relevant technical contribution to evaluating claim truthfulness in fact‑checking.",prompt-CoT,"Yes

The paper titled “Fake news detection using dual BERT deep neural networks” should be included in the systematic review because it meets all required criteria. It is written in English and appears as a peer‑reviewed journal article in *Multimedia Tools and Applications*. The study directly investigates an automated technique—dual BERT networks combined with a MaxWorth selection algorithm—for veracity (truthfulness) detection of full‑text news articles, which is explicitly situated in the fact‑checking/misinformation detection domain. The abstract reports experimental results that compare the proposed model to prior work using accuracy and other performance measures, thereby providing concrete evaluation metrics for truthfulness assessment. Consequently, the paper offers a relevant technical contribution to evaluating claim truthfulness in fact‑checking."
6666,Scopus,/Information Trustworthiness Detection,10.35940/ijrte.C6117.098319,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073554337&doi=10.35940%2fijrte.C6117.098319&partnerID=40&md5=40f7c39427071fb5fbb924e450fe88d4,Classification based credibility analysis on twitter data,Parvathi R.; Aravind J.,2019,Centrality; Classifiers; Credibility; Proximity; Truthfulness,,International Journal of Recent Technology and Engineering,,0.0,Article,"Twitter is an important place to get access to breaking news and information. So, it is necessary to check the trustworthiness of tweets. Credibility is used to assess the quality of being believable or worthy of trust. Credibility analysis refers to attempt to an ascertain truthfulness in short lie detection. In this work, credibility of the twitter data can be assessed using centrality measures. First the tweets are preprocessed using the preprocessing techniques. The preprocessing techniques on tweets: a stop word removal, stemming, pos tagging etc. are used to improve the performance. Preprocessed twitter data can be used to identify the tweet and author features. Then the centrality measures are applied to the preprocessed dataset. The proposed centrality measures used in this work are Betweeness centrality, Eigenvector centrality, Degree centrality and Closeness centrality. The centrality measures are used to find out the trust between the users and it will be given as input to classifiers. The classifiers like Naïve Bayesian, Support Vector Machine and K Nearest Neighbor are used to classify the tweets based on credibility. © BEIESP.",Yes,"The paper titled ""Classification based credibility analysis on twitter data"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it appears in the International Journal of Recent Technology and Engineering, indicating a peer‑reviewed journal article. The paper directly investigates automated techniques for assessing the truthfulness of Twitter content by using centrality measures and machine‑learning classifiers to evaluate credibility, which is a core aspect of fact‑checking and misinformation detection. Moreover, the study proposes a methodological framework that combines network‑based centrality features with classification models to evaluate the trustworthiness of claims, thereby contributing a conceptual approach for truthfulness assessment in fact‑checking. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Classification based credibility analysis on twitter data"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it appears in the International Journal of Recent Technology and Engineering, indicating a peer‑reviewed journal article. The paper directly investigates automated techniques for assessing the truthfulness of Twitter content by using centrality measures and machine‑learning classifiers to evaluate credibility, which is a core aspect of fact‑checking and misinformation detection. Moreover, the study proposes a methodological framework that combines network‑based centrality features with classification models to evaluate the trustworthiness of claims, thereby contributing a conceptual approach for truthfulness assessment in fact‑checking. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking."
