embedding_model,topic_id,topic_label,document_id,score
all-mpnet-base-v2,-1,Misinformation & Propaganda,15,
all-mpnet-base-v2,-1,Misinformation & Propaganda,24,
all-mpnet-base-v2,-1,Misinformation & Propaganda,25,
all-mpnet-base-v2,-1,Misinformation & Propaganda,26,
all-mpnet-base-v2,-1,Misinformation & Propaganda,41,
all-mpnet-base-v2,-1,Misinformation & Propaganda,43,
all-mpnet-base-v2,-1,Misinformation & Propaganda,48,
all-mpnet-base-v2,-1,Misinformation & Propaganda,54,
all-mpnet-base-v2,-1,Misinformation & Propaganda,57,
all-mpnet-base-v2,-1,Misinformation & Propaganda,60,
all-mpnet-base-v2,-1,Misinformation & Propaganda,62,
all-mpnet-base-v2,-1,Misinformation & Propaganda,63,
all-mpnet-base-v2,-1,Misinformation & Propaganda,64,
all-mpnet-base-v2,-1,Misinformation & Propaganda,69,
all-mpnet-base-v2,-1,Misinformation & Propaganda,71,
all-mpnet-base-v2,-1,Misinformation & Propaganda,72,
all-mpnet-base-v2,-1,Misinformation & Propaganda,73,
all-mpnet-base-v2,-1,Misinformation & Propaganda,79,
all-mpnet-base-v2,-1,Misinformation & Propaganda,80,
all-mpnet-base-v2,-1,Misinformation & Propaganda,81,
all-mpnet-base-v2,-1,Misinformation & Propaganda,88,
all-mpnet-base-v2,-1,Misinformation & Propaganda,89,
all-mpnet-base-v2,-1,Misinformation & Propaganda,90,
all-mpnet-base-v2,-1,Misinformation & Propaganda,91,
all-mpnet-base-v2,-1,Misinformation & Propaganda,92,
all-mpnet-base-v2,-1,Misinformation & Propaganda,98,
all-mpnet-base-v2,-1,Misinformation & Propaganda,104,
all-mpnet-base-v2,-1,Misinformation & Propaganda,105,
all-mpnet-base-v2,-1,Misinformation & Propaganda,111,
all-mpnet-base-v2,-1,Misinformation & Propaganda,116,
all-mpnet-base-v2,-1,Misinformation & Propaganda,117,
all-mpnet-base-v2,-1,Misinformation & Propaganda,125,
all-mpnet-base-v2,-1,Misinformation & Propaganda,127,
all-mpnet-base-v2,-1,Misinformation & Propaganda,128,
all-mpnet-base-v2,-1,Misinformation & Propaganda,129,
all-mpnet-base-v2,-1,Misinformation & Propaganda,130,
all-mpnet-base-v2,-1,Misinformation & Propaganda,131,
all-mpnet-base-v2,-1,Misinformation & Propaganda,132,
all-mpnet-base-v2,-1,Misinformation & Propaganda,135,
all-mpnet-base-v2,-1,Misinformation & Propaganda,143,
all-mpnet-base-v2,-1,Misinformation & Propaganda,145,
all-mpnet-base-v2,-1,Misinformation & Propaganda,146,
all-mpnet-base-v2,-1,Misinformation & Propaganda,149,
all-mpnet-base-v2,-1,Misinformation & Propaganda,150,
all-mpnet-base-v2,-1,Misinformation & Propaganda,151,
all-mpnet-base-v2,-1,Misinformation & Propaganda,158,
all-mpnet-base-v2,-1,Misinformation & Propaganda,160,
all-mpnet-base-v2,-1,Misinformation & Propaganda,161,
all-mpnet-base-v2,-1,Misinformation & Propaganda,164,
all-mpnet-base-v2,-1,Misinformation & Propaganda,165,
all-mpnet-base-v2,-1,Misinformation & Propaganda,172,
all-mpnet-base-v2,-1,Misinformation & Propaganda,173,
all-mpnet-base-v2,-1,Misinformation & Propaganda,176,
all-mpnet-base-v2,-1,Misinformation & Propaganda,177,
all-mpnet-base-v2,-1,Misinformation & Propaganda,186,
all-mpnet-base-v2,-1,Misinformation & Propaganda,187,
all-mpnet-base-v2,-1,Misinformation & Propaganda,189,
all-mpnet-base-v2,-1,Misinformation & Propaganda,194,
all-mpnet-base-v2,-1,Misinformation & Propaganda,197,
all-mpnet-base-v2,-1,Misinformation & Propaganda,199,
all-mpnet-base-v2,-1,Misinformation & Propaganda,204,
all-mpnet-base-v2,-1,Misinformation & Propaganda,207,
all-mpnet-base-v2,-1,Misinformation & Propaganda,210,
all-mpnet-base-v2,-1,Misinformation & Propaganda,217,
all-mpnet-base-v2,-1,Misinformation & Propaganda,222,
all-mpnet-base-v2,-1,Misinformation & Propaganda,226,
all-mpnet-base-v2,-1,Misinformation & Propaganda,234,
all-mpnet-base-v2,-1,Misinformation & Propaganda,240,
all-mpnet-base-v2,-1,Misinformation & Propaganda,241,
all-mpnet-base-v2,-1,Misinformation & Propaganda,243,
all-mpnet-base-v2,-1,Misinformation & Propaganda,249,
all-mpnet-base-v2,-1,Misinformation & Propaganda,251,
all-mpnet-base-v2,-1,Misinformation & Propaganda,252,
all-mpnet-base-v2,-1,Misinformation & Propaganda,254,
all-mpnet-base-v2,-1,Misinformation & Propaganda,260,
all-mpnet-base-v2,-1,Misinformation & Propaganda,262,
all-mpnet-base-v2,-1,Misinformation & Propaganda,263,
all-mpnet-base-v2,-1,Misinformation & Propaganda,266,
all-mpnet-base-v2,-1,Misinformation & Propaganda,267,
all-mpnet-base-v2,-1,Misinformation & Propaganda,270,
all-mpnet-base-v2,-1,Misinformation & Propaganda,271,
all-mpnet-base-v2,-1,Misinformation & Propaganda,272,
all-mpnet-base-v2,-1,Misinformation & Propaganda,275,
all-mpnet-base-v2,-1,Misinformation & Propaganda,278,
all-mpnet-base-v2,-1,Misinformation & Propaganda,283,
all-mpnet-base-v2,-1,Misinformation & Propaganda,291,
all-mpnet-base-v2,-1,Misinformation & Propaganda,292,
