embedding_model,topic_id,topic_label,document_id,score
all-mpnet-base-v2,-1,Misinformation & Propaganda,2,
all-mpnet-base-v2,-1,Misinformation & Propaganda,4,
all-mpnet-base-v2,-1,Misinformation & Propaganda,17,
all-mpnet-base-v2,-1,Misinformation & Propaganda,27,
all-mpnet-base-v2,-1,Misinformation & Propaganda,30,
all-mpnet-base-v2,-1,Misinformation & Propaganda,31,
all-mpnet-base-v2,-1,Misinformation & Propaganda,36,
all-mpnet-base-v2,-1,Misinformation & Propaganda,43,
all-mpnet-base-v2,-1,Misinformation & Propaganda,58,
all-mpnet-base-v2,-1,Misinformation & Propaganda,60,
all-mpnet-base-v2,-1,Misinformation & Propaganda,73,
all-mpnet-base-v2,-1,Misinformation & Propaganda,83,
all-mpnet-base-v2,-1,Misinformation & Propaganda,84,
all-mpnet-base-v2,-1,Misinformation & Propaganda,85,
all-mpnet-base-v2,-1,Misinformation & Propaganda,87,
all-mpnet-base-v2,-1,Misinformation & Propaganda,90,
all-mpnet-base-v2,-1,Misinformation & Propaganda,93,
all-mpnet-base-v2,-1,Misinformation & Propaganda,97,
all-mpnet-base-v2,-1,Misinformation & Propaganda,105,
all-mpnet-base-v2,-1,Misinformation & Propaganda,110,
all-mpnet-base-v2,-1,Misinformation & Propaganda,112,
all-mpnet-base-v2,-1,Misinformation & Propaganda,115,
all-mpnet-base-v2,-1,Misinformation & Propaganda,124,
all-mpnet-base-v2,-1,Misinformation & Propaganda,125,
all-mpnet-base-v2,-1,Misinformation & Propaganda,127,
all-mpnet-base-v2,-1,Misinformation & Propaganda,129,
all-mpnet-base-v2,-1,Misinformation & Propaganda,132,
all-mpnet-base-v2,-1,Misinformation & Propaganda,133,
all-mpnet-base-v2,-1,Misinformation & Propaganda,136,
all-mpnet-base-v2,-1,Misinformation & Propaganda,138,
all-mpnet-base-v2,-1,Misinformation & Propaganda,140,
all-mpnet-base-v2,-1,Misinformation & Propaganda,144,
all-mpnet-base-v2,-1,Misinformation & Propaganda,146,
all-mpnet-base-v2,-1,Misinformation & Propaganda,151,
all-mpnet-base-v2,-1,Misinformation & Propaganda,155,
all-mpnet-base-v2,-1,Misinformation & Propaganda,157,
all-mpnet-base-v2,-1,Misinformation & Propaganda,159,
all-mpnet-base-v2,-1,Misinformation & Propaganda,160,
all-mpnet-base-v2,-1,Misinformation & Propaganda,166,
all-mpnet-base-v2,-1,Misinformation & Propaganda,167,
all-mpnet-base-v2,-1,Misinformation & Propaganda,168,
all-mpnet-base-v2,-1,Misinformation & Propaganda,172,
all-mpnet-base-v2,-1,Misinformation & Propaganda,174,
all-mpnet-base-v2,-1,Misinformation & Propaganda,178,
all-mpnet-base-v2,-1,Misinformation & Propaganda,180,
all-mpnet-base-v2,-1,Misinformation & Propaganda,182,
all-mpnet-base-v2,-1,Misinformation & Propaganda,192,
all-mpnet-base-v2,-1,Misinformation & Propaganda,201,
all-mpnet-base-v2,-1,Misinformation & Propaganda,206,
all-mpnet-base-v2,-1,Misinformation & Propaganda,212,
all-mpnet-base-v2,-1,Misinformation & Propaganda,213,
all-mpnet-base-v2,-1,Misinformation & Propaganda,215,
all-mpnet-base-v2,-1,Misinformation & Propaganda,218,
