embedding_model,topic_id,topic_label,document_id,score
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,3,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,7,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,8,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,9,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,11,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,16,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,18,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,21,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,23,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,27,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,28,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,30,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,32,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,33,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,34,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,40,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,41,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,44,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,51,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,53,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,60,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,61,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,62,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,64,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,68,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,72,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,75,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,76,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,78,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,85,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,87,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,90,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,91,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,94,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,96,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,102,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,103,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,104,
