embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,17,,12.815841,12.68885,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,34,,13.457749,12.779362,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,61,,13.130158,13.363046,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,81,,13.518225,13.404384,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,85,,13.590568,13.40788,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,93,,12.803841,13.026062,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,141,,13.203033,13.429497,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,150,,13.342007,12.517119,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,186,,13.524222,13.38107,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,194,,13.513919,13.506509,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,196,,13.607817,12.908461,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,239,,13.12664,13.111749,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,245,,13.387095,12.850389,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,249,,13.322579,13.208436,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
paraphrase-MiniLM-L6-v2,0,Misinformation & Propaganda,264,,12.762264,12.725808,0.5544389486312866,"(0.6823529411764706, 0.7803921568627451, 0.9098039215686274, 1.0)","T0
0.55",True
