embedding_model,topic_id,topic_label,document_id,score
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,17,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,37,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,45,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,49,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,50,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,51,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,52,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,53,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,58,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,59,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,63,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,64,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,69,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,70,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,71,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,73,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,76,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,78,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,79,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,80,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,82,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,85,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,87,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,92,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,97,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,100,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,111,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,112,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,113,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,114,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,117,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,119,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,120,
