topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,359,"news, fake, social, media, information, model, detection, content, learning, data"
0,T000,"health, medical",30,"health, medical, sites, healthrelated, domain, search, evaluation, abortion, information, claims"
1,T001,Credibility Assessment,29,"web, information, trustworthiness, credibility, trust, users, criteria, bloggers, epistemic, blog"
2,T002,Misinformation & Propaganda,23,"news, media, social, fake, features, content, propagation, publishers, network, proposed"
3,T003,"llms, llm",23,"llms, llm, language, models, large, lms, hallucinations, hallucination, tasks, uncertainty"
4,T004,Credibility Assessment,22,"twitter, tweets, events, tweet, rumor, credibility, features, event, users, centrality"
5,T005,Misinformation & Propaganda,21,"news, detection, fake, methods, factbased, learning, models, based, module, model"
6,T006,Misinformation & Propaganda,18,"nlp, ftransform, news, time, bdo, language, fake, temporal, challenge, detection"
7,T007,Fact-Checking & Verification,17,"claim, factchecking, claims, afc, evidence, veracity, explanations, automated, fact, prediction"
8,T008,Misinformation & Propaganda,14,"misinformation, african, south, legal, schemas, social, p001, biases, information, media"
9,T009,Misinformation & Propaganda,13,"covid19, health, students, pandemic, mers, virus, websites, people, disease, misinformation"
10,T010,Fact-Checking & Verification,13,"verification, fact, evidence, multihop, causal, reasoning, claim, fever, sentences, factcheck"
11,T011,"deepfake, videos",13,"deepfake, videos, video, deep, deepfakes, images, detection, seniors, content, digital"
12,T012,"ai, aigenerated",13,"ai, aigenerated, humanwritten, aiguardian, et, al, machinegenerated, material, news, detectors"
13,T013,"verbal, cues",13,"verbal, cues, deception, statements, statement, cbca, liars, participants, scan, motive"
14,T014,Misinformation & Propaganda,12,"neural, recurrent, news, fake, detection, dnfn, title, model, deep, network"
15,T015,Misinformation & Propaganda,11,"news, severity, fake, mitigation, platforms, early, recommend, rec4mit, social, true"
16,T016,Misinformation & Propaganda,11,"users, news, location, fake, fallacious, sentiment, article, methods, detection, posts"
17,T017,Fact-Checking & Verification,11,"claims, medical, political, factchecking, subquestions, statements, mayors, task, claim, bias"
18,T018,Crowdsourced Analysis,10,"internet, pressure, online, news, ads, false, time, german, people, crowdsourcing"
19,T019,Journalism & Media Studies,10,"news, digital, stances, assamese, defakts, claimverif, media, sources, public, information"
20,T020,"machine, learning",10,"machine, learning, digital, integrity, oemdl, optimized, training, data, oml, odl"
21,T021,Credibility Assessment,10,"domains, image, web, forged, forgery, images, crossdomain, credibility, contents, framework"
22,T022,Crowdsourced Analysis,10,"workers, crowd, crowdsourcing, truthfulness, statements, assessments, decision, aid, professionals, scale"
23,T023,Misinformation & Propaganda,10,"covid19, notes, ccfd, unhelpful, covid19related, votes, crowdsourced, infodemic, interface, misinformation"
24,T024,Fact-Checking & Verification,9,"faxplainac, factchecking, claim, model, task, runs, checkworthiness, feedback, important, claims"
25,T025,"sensing, discovery",9,"sensing, discovery, truth, observations, problem, claims, dependency, topic, solutions, facial"
26,T026,"fact, multiclaim",9,"fact, multiclaim, checking, statement, kg, kgs, evidence, verify, category, multiple"
27,T027,Credibility Assessment,9,"microblogs, features, visual, credibility, representation, communities, image, microblog, social, media"
28,T028,Misinformation & Propaganda,9,"fake, news, stance, vector, second, mcbp, classification, uses, development, truefalse"
29,T029,Rumor on Social Media,8,"rumor, rumors, cascades, cascade, cascadelstm, counterrumours, propagation, early, users, rumours"
30,T030,Misinformation & Propaganda,8,"news, fake, entity, methods, multilabel, 2018, various, graphbased, donald, trump"
31,T031,Misinformation & Propaganda,8,"checks, papers, assessment, fake, domain, intelligence, news, society, tfidf, methods"
32,T032,Misinformation & Propaganda,8,"fakedetector, news, online, fake, creators, subjects, commitment, internet, networks, offline"
33,T033,Misinformation & Propaganda,8,"devices, manet, messaging, mobile, fake, veracity, legitimacy, verifynews, predictcred, credscore"
34,T034,"crowdsourced, branch",7,"crowdsourced, branch, interpretability, factual, fuzzy, hiddenstates, fufaction, reverseattention, models, documents"
35,T035,Credibility Assessment,7,"wikipedia, articles, hoax, coloring, hoaxes, expertise, wikipediaviz, trust, readers, domainspecific"
36,T036,Journalism & Media Studies,7,"linguistic, rumour, solution, welfake, media, messages, social, model, sets, models"
37,T037,"review, false",7,"review, false, evidence, literature, sufficiency, stance, articles, making, manipulative, dataset"
38,T038,Misinformation & Propaganda,7,"misinformation, genetically, organisms, intent, md, modified, issues, disputes, features, peers"
39,T039,Journalism & Media Studies,6,"level, trustworthiness, tool, polarization, media, project, social, political, digital, h2020"
40,T040,"discovery, truth",6,"discovery, truth, sources, scheme, axioms, conflict, data, algorithms, trustworthy, srtd"
41,T041,"lab, task",6,"lab, task, checkthat, english, subtask, pages, edition, german, claim, asks"
42,T042,"image, images",6,"image, images, viewers, online, manipulated, tampering, attached, authenticity, evaluate, forensic"
43,T043,"pipeline, domain",6,"pipeline, domain, checking, component, base, pipelines, knowledge, train, shift, reader"
44,T044,"multimodal, manipulation",6,"multimodal, manipulation, consistency, reports, modalities, textualvisual, dgm4, false, information, clip"
45,T045,Rumor on Social Media,6,"hoaxes, rumour, ipfs, dataset, blockchain, indonesia, particle, pso, voting, spreading"
46,T046,"fact, loren",6,"fact, loren, graph, claim, proofs, facekeg, fever, verification, proofver, faithful"
47,T047,"5lcnn, reviews",6,"5lcnn, reviews, false, extension, literacy, lstmrf, feedreflect, spamming, news, difficult"
48,T048,Misinformation & Propaganda,6,"subgraphs, scene, heterogeneous, news, fake, enablers, heterosgt, eknet, arabic, scenes"
49,T049,Credibility Assessment,6,"hmid, explainability, artificial, transparency, inferred, ai, intelligence, controlled, explanations, trust"
50,T050,Rumor on Social Media,6,"tweets, classification, nonfake, dataset, untrustworthy, twitter, event, straightforward, largescale, false"
51,T051,Crowdsourced Analysis,5,"deceptive, annotation, statements, tags, corpus, beliefs, automated, thesis, propositions, knowledge"
52,T052,"evidence, expertise",5,"evidence, expertise, claim, pu, actual, claims, viewpoints, truthtracking, ehian, unlabeled"
53,T053,Credibility Assessment,5,"sources, factors, information, literature, impartiality, white, grey, assert, credibility, projects"
54,T054,"1a, task",5,"1a, task, subtasks, tweets, checkthat, lab, respectively, participated, spanish, 1b"
55,T055,Credibility Assessment,5,"credential, source, credibility, media, message, dimension, facebook, social, iq, verified"
56,T056,Misinformation & Propaganda,5,"multimodal, unimodal, mineruvs, fnd, modality, deceptive, news, patterns, fake, crossmodal"
57,T057,"bert, networks",5,"bert, networks, transformers, models, problem, text, incorporation, ctbert, news, encodes"
58,T058,Misinformation & Propaganda,5,"detectysf, adversarial, detection, sve, fake, external, fend, challenges, analysis, learning"
59,T059,Journalism & Media Studies,5,"islamic, mulxqa, rationale, social, media, hate, peoples, platforms, snippets, claim"
60,T060,"arabic, ensemble",5,"arabic, ensemble, uncertainty, arastance, model, stacking, proposed, detection, bnn, architecture"
61,T061,Misinformation & Propaganda,5,"comments, physiological, presenters, observers, doubt, detection, diverse, fake, silent, genfend"
62,T062,Fact-Checking & Verification,5,"ofs, perturbation, sdt, striking, kgs, debunking, sentencelevel, render, wsdms, lateral"
