embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-mpnet-base-v2,-1,Misinformation & Propaganda,15,,12.755665,8.901751,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,24,,6.995735,7.5884285,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,25,,9.18488,9.026511,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,26,,8.940249,8.239406,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,41,,7.366904,7.819078,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,43,,7.727704,7.894121,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,48,,7.0904784,7.8203616,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,54,,9.066789,8.094668,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,57,,11.1705675,6.2778935,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,60,,11.360586,8.619177,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,62,,12.894447,7.4492826,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,63,,13.026483,7.6416483,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,64,,12.550568,9.463843,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,69,,11.710079,6.423891,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,71,,12.729594,8.445896,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,72,,11.949752,6.9473996,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,73,,12.902924,8.302092,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,79,,11.491185,5.6027493,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,80,,12.541856,6.7270494,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,81,,12.447611,10.241079,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,88,,11.917974,8.782761,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,89,,11.685125,9.690325,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,90,,12.269909,7.3478475,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,91,,11.987549,6.160021,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,92,,12.68258,8.276891,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,98,,11.929665,9.337961,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,104,,12.506558,8.2730255,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,105,,10.912161,4.207527,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,111,,6.912648,7.787051,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,116,,9.817776,3.9561405,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,117,,6.7014856,8.0442505,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,125,,9.156437,9.181283,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,127,,6.8720684,7.8309455,3.026176929473877,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
3.03",False
