topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,213,"news, fake, information, model, media, social, veracity, detection, content, features"
0,T000,Fact-Checking & Verification,15,"rumors, rumor, media, social, twitter, tweets, veracity, learning, users, events"
1,T001,Misinformation & Propaganda,14,"information, using, argumentation, data, disinformation, evidence, false, inceptionresnetv2, fusion, states"
2,T002,Misinformation & Propaganda,14,"news, fake, detection, graphs, performance, knowledge, information, feature, problem, heterogeneous"
3,T003,"llms, llm",12,"llms, llm, large, models, untruthful, language, climate, tasks, classifier, factual"
4,T004,"reviews, machine",11,"reviews, machine, digital, learning, review, online, products, stances, training, information"
5,T005,Misinformation & Propaganda,10,"news, fake, learning, detection, title, oemdl, deep, digital, recurrent, optimized"
6,T006,Misinformation & Propaganda,10,"bert, layer, news, fake, model, vector, media, shall, checks, true"
7,T007,"lab, task",10,"lab, task, checkthat, english, evaluation, pages, arabic, asks, tasks, clef"
8,T008,Misinformation & Propaganda,10,"news, fake, analytical, detection, studies, explainable, credibility, debunking, reasoning, associated"
9,T009,Journalism & Media Studies,10,"platforms, features, media, social, models, model, learning, order, accuracy, news"
10,T010,Credibility Assessment,10,"tweets, twitter, centrality, rumor, used, tweet, credibility, proposed, features, propagate"
11,T011,"causal, verification",9,"causal, verification, evidence, multihop, claim, fact, reasoning, debiasing, structure, relevance"
12,T012,Misinformation & Propaganda,8,"online, fake, news, fakedetector, networks, creators, subjects, social, classic, network"
13,T013,Misinformation & Propaganda,8,"workers, crowd, truthfulness, crowdsourcing, statements, experts, scale, misinformation, assessments, assess"
14,T014,"fact, multiclaim",8,"fact, multiclaim, checking, statement, knowledge, graph, evidence, multiple, claims, kgs"
15,T015,Misinformation & Propaganda,8,"news, internet, people, fake, platforms, adam, adadelta, newspapers, propagation, social"
16,T016,Misinformation & Propaganda,7,"branch, propaganda, protext, social, estimator, models, state, text, model, networks"
17,T017,Fact-Checking & Verification,7,"afc, factchecking, explanations, ebart, leaked, vence, evidence, false, unreliable, systems"
18,T018,Fact-Checking & Verification,7,"rumor, conversation, stances, stance, matnn, tweet, tree, veracity, graph, extract"
19,T019,"aigenerated, aiguardian",7,"aigenerated, aiguardian, et, al, artificial, inferred, intelligence, ai, controlled, identification"
20,T020,"factbased, comments",7,"factbased, methods, comments, external, news, patterns, pattern, predictions, user, lexicons"
21,T021,Misinformation & Propaganda,7,"media, social, users, news, rumour, fake, welfake, negative, aspects, truths"
22,T022,Misinformation & Propaganda,7,"mws, social, news, devices, fake, sensing, mobile, detection, network, platform"
23,T023,"verification, claim",7,"verification, claim, process, reasoning, wikipedia, sentences, fact, fever, evidence, document"
24,T024,"discovery, sensing",6,"discovery, sensing, truth, problem, claims, observations, topic, dependency, social, facial"
25,T025,Fact-Checking & Verification,6,"veracity, metadata, premise, claims, prediction, dataset, articles, checking, fact, contribute"
26,T026,"medical, health",6,"medical, health, healthrelated, online, medfact, trusted, information, binary, healthcare, sentences"
27,T027,"search, statement",6,"search, statement, web, fact, statements, determine, ranking, answers, alternative, method"
28,T028,Misinformation & Propaganda,5,"fake, machinegenerated, news, synthetic, information, mcbp, vector, data, proposed, text"
29,T029,"time, ftransform",5,"time, ftransform, temporal, bdo, ilp, precise, rules, energy, ptsf, logic"
30,T030,Misinformation & Propaganda,5,"multimodal, consistency, reports, clip, textualvisual, textual, contents, fake, prompt, based"
31,T031,"covid19, votes",5,"covid19, votes, data, home, machinelearned, covid19related, accuracy, crowdsourced, achieved, health"
32,T032,"graph, proofs",5,"graph, proofs, fact, facekeg, fever, claim, proofver, evidence, model, verification"
33,T033,Misinformation & Propaganda,5,"disease, seminext, health, coronavirus, misinformation, covid19, tcn, online, rumours, users"
34,T034,Fact-Checking & Verification,5,"scientific, claims, task, factchecking, citation, sentences, claim, expertise, given, dataset"
