embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,,14.878607,8.362169,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,17,,16.696913,9.3963375,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,,15.894251,9.192729,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,37,,15.753678,8.236719,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,,11.712473,10.333998,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,45,,11.217488,9.781071,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,49,,16.156256,9.943003,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,50,,16.687563,7.721278,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,51,,16.886444,9.163033,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,52,,13.595048,8.991403,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,53,,15.56965,10.336752,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,58,,15.466682,9.63852,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,59,,16.588251,9.719486,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,63,,16.82687,8.422499,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,64,,16.727478,10.005084,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,69,,15.987138,8.016234,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,70,,16.349506,8.86917,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,71,,16.394867,9.724993,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,73,,16.706575,9.756651,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,76,,17.441813,9.252174,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,78,,16.94837,9.025622,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,79,,16.665127,8.133588,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,80,,16.416224,7.876554,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,82,,16.23042,8.332061,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,85,,16.580887,9.69376,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,87,,16.652191,9.736867,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,92,,16.717094,10.115276,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,97,,15.231514,9.241889,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,100,,16.110437,7.0723863,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,111,,12.130029,9.795368,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,112,,11.683667,10.045662,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,113,,11.450285,9.857631,2.9027109146118164,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.90",False
