embedding_model,topic_id,topic_label,document_id,score
all-mpnet-base-v2,-1,Misinformation & Propaganda,1,
all-mpnet-base-v2,-1,Misinformation & Propaganda,4,
all-mpnet-base-v2,-1,Misinformation & Propaganda,7,
all-mpnet-base-v2,-1,Misinformation & Propaganda,9,
all-mpnet-base-v2,-1,Misinformation & Propaganda,15,
all-mpnet-base-v2,-1,Misinformation & Propaganda,20,
all-mpnet-base-v2,-1,Misinformation & Propaganda,23,
all-mpnet-base-v2,-1,Misinformation & Propaganda,25,
all-mpnet-base-v2,-1,Misinformation & Propaganda,28,
all-mpnet-base-v2,-1,Misinformation & Propaganda,31,
all-mpnet-base-v2,-1,Misinformation & Propaganda,35,
all-mpnet-base-v2,-1,Misinformation & Propaganda,40,
all-mpnet-base-v2,-1,Misinformation & Propaganda,41,
all-mpnet-base-v2,-1,Misinformation & Propaganda,46,
all-mpnet-base-v2,-1,Misinformation & Propaganda,53,
all-mpnet-base-v2,-1,Misinformation & Propaganda,59,
all-mpnet-base-v2,-1,Misinformation & Propaganda,60,
all-mpnet-base-v2,-1,Misinformation & Propaganda,61,
all-mpnet-base-v2,-1,Misinformation & Propaganda,63,
all-mpnet-base-v2,-1,Misinformation & Propaganda,64,
all-mpnet-base-v2,-1,Misinformation & Propaganda,69,
all-mpnet-base-v2,-1,Misinformation & Propaganda,70,
all-mpnet-base-v2,-1,Misinformation & Propaganda,72,
all-mpnet-base-v2,-1,Misinformation & Propaganda,75,
all-mpnet-base-v2,-1,Misinformation & Propaganda,76,
all-mpnet-base-v2,-1,Misinformation & Propaganda,77,
all-mpnet-base-v2,-1,Misinformation & Propaganda,83,
all-mpnet-base-v2,-1,Misinformation & Propaganda,88,
all-mpnet-base-v2,-1,Misinformation & Propaganda,91,
all-mpnet-base-v2,-1,Misinformation & Propaganda,98,
all-mpnet-base-v2,-1,Misinformation & Propaganda,99,
all-mpnet-base-v2,-1,Misinformation & Propaganda,101,
all-mpnet-base-v2,-1,Misinformation & Propaganda,103,
all-mpnet-base-v2,-1,Misinformation & Propaganda,104,
all-mpnet-base-v2,-1,Misinformation & Propaganda,105,
all-mpnet-base-v2,-1,Misinformation & Propaganda,111,
all-mpnet-base-v2,-1,Misinformation & Propaganda,117,
all-mpnet-base-v2,-1,Misinformation & Propaganda,119,
all-mpnet-base-v2,-1,Misinformation & Propaganda,130,
all-mpnet-base-v2,-1,Misinformation & Propaganda,131,
all-mpnet-base-v2,-1,Misinformation & Propaganda,135,
all-mpnet-base-v2,-1,Misinformation & Propaganda,142,
all-mpnet-base-v2,-1,Misinformation & Propaganda,147,
all-mpnet-base-v2,-1,Misinformation & Propaganda,148,
all-mpnet-base-v2,-1,Misinformation & Propaganda,152,
all-mpnet-base-v2,-1,Misinformation & Propaganda,153,
all-mpnet-base-v2,-1,Misinformation & Propaganda,158,
all-mpnet-base-v2,-1,Misinformation & Propaganda,168,
all-mpnet-base-v2,-1,Misinformation & Propaganda,189,
all-mpnet-base-v2,-1,Misinformation & Propaganda,191,
all-mpnet-base-v2,-1,Misinformation & Propaganda,199,
all-mpnet-base-v2,-1,Misinformation & Propaganda,200,
all-mpnet-base-v2,-1,Misinformation & Propaganda,201,
all-mpnet-base-v2,-1,Misinformation & Propaganda,208,
all-mpnet-base-v2,-1,Misinformation & Propaganda,213,
all-mpnet-base-v2,-1,Misinformation & Propaganda,215,
all-mpnet-base-v2,-1,Misinformation & Propaganda,216,
all-mpnet-base-v2,-1,Misinformation & Propaganda,219,
all-mpnet-base-v2,-1,Misinformation & Propaganda,224,
all-mpnet-base-v2,-1,Misinformation & Propaganda,226,
all-mpnet-base-v2,-1,Misinformation & Propaganda,227,
all-mpnet-base-v2,-1,Misinformation & Propaganda,236,
all-mpnet-base-v2,-1,Misinformation & Propaganda,237,
all-mpnet-base-v2,-1,Misinformation & Propaganda,239,
all-mpnet-base-v2,-1,Misinformation & Propaganda,240,
all-mpnet-base-v2,-1,Misinformation & Propaganda,241,
all-mpnet-base-v2,-1,Misinformation & Propaganda,251,
all-mpnet-base-v2,-1,Misinformation & Propaganda,252,
all-mpnet-base-v2,-1,Misinformation & Propaganda,253,
all-mpnet-base-v2,-1,Misinformation & Propaganda,254,
all-mpnet-base-v2,-1,Misinformation & Propaganda,256,
all-mpnet-base-v2,-1,Misinformation & Propaganda,260,
all-mpnet-base-v2,-1,Misinformation & Propaganda,265,
all-mpnet-base-v2,-1,Misinformation & Propaganda,266,
all-mpnet-base-v2,-1,Misinformation & Propaganda,269,
all-mpnet-base-v2,-1,Misinformation & Propaganda,278,
all-mpnet-base-v2,-1,Misinformation & Propaganda,282,
all-mpnet-base-v2,-1,Misinformation & Propaganda,285,
all-mpnet-base-v2,-1,Misinformation & Propaganda,288,
all-mpnet-base-v2,-1,Misinformation & Propaganda,291,
all-mpnet-base-v2,-1,Misinformation & Propaganda,303,
all-mpnet-base-v2,-1,Misinformation & Propaganda,304,
all-mpnet-base-v2,-1,Misinformation & Propaganda,308,
all-mpnet-base-v2,-1,Misinformation & Propaganda,309,
all-mpnet-base-v2,-1,Misinformation & Propaganda,315,
all-mpnet-base-v2,-1,Misinformation & Propaganda,316,
all-mpnet-base-v2,-1,Misinformation & Propaganda,323,
all-mpnet-base-v2,-1,Misinformation & Propaganda,328,
all-mpnet-base-v2,-1,Misinformation & Propaganda,336,
all-mpnet-base-v2,-1,Misinformation & Propaganda,351,
all-mpnet-base-v2,-1,Misinformation & Propaganda,355,
all-mpnet-base-v2,-1,Misinformation & Propaganda,356,
all-mpnet-base-v2,-1,Misinformation & Propaganda,358,
all-mpnet-base-v2,-1,Misinformation & Propaganda,360,
all-mpnet-base-v2,-1,Misinformation & Propaganda,364,
all-mpnet-base-v2,-1,Misinformation & Propaganda,365,
all-mpnet-base-v2,-1,Misinformation & Propaganda,367,
all-mpnet-base-v2,-1,Misinformation & Propaganda,374,
all-mpnet-base-v2,-1,Misinformation & Propaganda,380,
all-mpnet-base-v2,-1,Misinformation & Propaganda,389,
all-mpnet-base-v2,-1,Misinformation & Propaganda,390,
all-mpnet-base-v2,-1,Misinformation & Propaganda,391,
all-mpnet-base-v2,-1,Misinformation & Propaganda,393,
all-mpnet-base-v2,-1,Misinformation & Propaganda,395,
all-mpnet-base-v2,-1,Misinformation & Propaganda,400,
all-mpnet-base-v2,-1,Misinformation & Propaganda,406,
all-mpnet-base-v2,-1,Misinformation & Propaganda,408,
all-mpnet-base-v2,-1,Misinformation & Propaganda,410,
all-mpnet-base-v2,-1,Misinformation & Propaganda,411,
all-mpnet-base-v2,-1,Misinformation & Propaganda,413,
all-mpnet-base-v2,-1,Misinformation & Propaganda,414,
all-mpnet-base-v2,-1,Misinformation & Propaganda,415,
all-mpnet-base-v2,-1,Misinformation & Propaganda,420,
all-mpnet-base-v2,-1,Misinformation & Propaganda,421,
all-mpnet-base-v2,-1,Misinformation & Propaganda,422,
all-mpnet-base-v2,-1,Misinformation & Propaganda,423,
all-mpnet-base-v2,-1,Misinformation & Propaganda,425,
all-mpnet-base-v2,-1,Misinformation & Propaganda,431,
all-mpnet-base-v2,-1,Misinformation & Propaganda,434,
all-mpnet-base-v2,-1,Misinformation & Propaganda,435,
all-mpnet-base-v2,-1,Misinformation & Propaganda,436,
all-mpnet-base-v2,-1,Misinformation & Propaganda,437,
all-mpnet-base-v2,-1,Misinformation & Propaganda,449,
all-mpnet-base-v2,-1,Misinformation & Propaganda,451,
all-mpnet-base-v2,-1,Misinformation & Propaganda,452,
all-mpnet-base-v2,-1,Misinformation & Propaganda,454,
all-mpnet-base-v2,-1,Misinformation & Propaganda,455,
all-mpnet-base-v2,-1,Misinformation & Propaganda,456,
all-mpnet-base-v2,-1,Misinformation & Propaganda,463,
all-mpnet-base-v2,-1,Misinformation & Propaganda,465,
all-mpnet-base-v2,-1,Misinformation & Propaganda,466,
all-mpnet-base-v2,-1,Misinformation & Propaganda,467,
all-mpnet-base-v2,-1,Misinformation & Propaganda,468,
all-mpnet-base-v2,-1,Misinformation & Propaganda,471,
all-mpnet-base-v2,-1,Misinformation & Propaganda,472,
all-mpnet-base-v2,-1,Misinformation & Propaganda,477,
all-mpnet-base-v2,-1,Misinformation & Propaganda,486,
all-mpnet-base-v2,-1,Misinformation & Propaganda,490,
all-mpnet-base-v2,-1,Misinformation & Propaganda,498,
all-mpnet-base-v2,-1,Misinformation & Propaganda,499,
all-mpnet-base-v2,-1,Misinformation & Propaganda,502,
all-mpnet-base-v2,-1,Misinformation & Propaganda,503,
all-mpnet-base-v2,-1,Misinformation & Propaganda,506,
all-mpnet-base-v2,-1,Misinformation & Propaganda,507,
all-mpnet-base-v2,-1,Misinformation & Propaganda,520,
all-mpnet-base-v2,-1,Misinformation & Propaganda,526,
all-mpnet-base-v2,-1,Misinformation & Propaganda,530,
all-mpnet-base-v2,-1,Misinformation & Propaganda,532,
all-mpnet-base-v2,-1,Misinformation & Propaganda,535,
all-mpnet-base-v2,-1,Misinformation & Propaganda,538,
all-mpnet-base-v2,-1,Misinformation & Propaganda,539,
all-mpnet-base-v2,-1,Misinformation & Propaganda,540,
all-mpnet-base-v2,-1,Misinformation & Propaganda,543,
all-mpnet-base-v2,-1,Misinformation & Propaganda,545,
all-mpnet-base-v2,-1,Misinformation & Propaganda,547,
all-mpnet-base-v2,-1,Misinformation & Propaganda,550,
all-mpnet-base-v2,-1,Misinformation & Propaganda,552,
all-mpnet-base-v2,-1,Misinformation & Propaganda,558,
all-mpnet-base-v2,-1,Misinformation & Propaganda,562,
all-mpnet-base-v2,-1,Misinformation & Propaganda,565,
all-mpnet-base-v2,-1,Misinformation & Propaganda,567,
all-mpnet-base-v2,-1,Misinformation & Propaganda,570,
all-mpnet-base-v2,-1,Misinformation & Propaganda,578,
all-mpnet-base-v2,-1,Misinformation & Propaganda,580,
all-mpnet-base-v2,-1,Misinformation & Propaganda,587,
all-mpnet-base-v2,-1,Misinformation & Propaganda,589,
all-mpnet-base-v2,-1,Misinformation & Propaganda,590,
all-mpnet-base-v2,-1,Misinformation & Propaganda,595,
all-mpnet-base-v2,-1,Misinformation & Propaganda,597,
all-mpnet-base-v2,-1,Misinformation & Propaganda,601,
all-mpnet-base-v2,-1,Misinformation & Propaganda,603,
all-mpnet-base-v2,-1,Misinformation & Propaganda,604,
all-mpnet-base-v2,-1,Misinformation & Propaganda,605,
all-mpnet-base-v2,-1,Misinformation & Propaganda,607,
all-mpnet-base-v2,-1,Misinformation & Propaganda,613,
all-mpnet-base-v2,-1,Misinformation & Propaganda,615,
all-mpnet-base-v2,-1,Misinformation & Propaganda,616,
all-mpnet-base-v2,-1,Misinformation & Propaganda,618,
all-mpnet-base-v2,-1,Misinformation & Propaganda,620,
all-mpnet-base-v2,-1,Misinformation & Propaganda,625,
all-mpnet-base-v2,-1,Misinformation & Propaganda,632,
all-mpnet-base-v2,-1,Misinformation & Propaganda,636,
all-mpnet-base-v2,-1,Misinformation & Propaganda,640,
all-mpnet-base-v2,-1,Misinformation & Propaganda,643,
all-mpnet-base-v2,-1,Misinformation & Propaganda,646,
all-mpnet-base-v2,-1,Misinformation & Propaganda,647,
all-mpnet-base-v2,-1,Misinformation & Propaganda,649,
all-mpnet-base-v2,-1,Misinformation & Propaganda,651,
all-mpnet-base-v2,-1,Misinformation & Propaganda,652,
all-mpnet-base-v2,-1,Misinformation & Propaganda,654,
all-mpnet-base-v2,-1,Misinformation & Propaganda,657,
all-mpnet-base-v2,-1,Misinformation & Propaganda,663,
all-mpnet-base-v2,-1,Misinformation & Propaganda,665,
all-mpnet-base-v2,-1,Misinformation & Propaganda,668,
all-mpnet-base-v2,-1,Misinformation & Propaganda,670,
all-mpnet-base-v2,-1,Misinformation & Propaganda,675,
all-mpnet-base-v2,-1,Misinformation & Propaganda,684,
all-mpnet-base-v2,-1,Misinformation & Propaganda,689,
all-mpnet-base-v2,-1,Misinformation & Propaganda,692,
all-mpnet-base-v2,-1,Misinformation & Propaganda,698,
all-mpnet-base-v2,-1,Misinformation & Propaganda,707,
all-mpnet-base-v2,-1,Misinformation & Propaganda,709,
all-mpnet-base-v2,-1,Misinformation & Propaganda,711,
all-mpnet-base-v2,-1,Misinformation & Propaganda,716,
all-mpnet-base-v2,-1,Misinformation & Propaganda,721,
all-mpnet-base-v2,-1,Misinformation & Propaganda,722,
all-mpnet-base-v2,-1,Misinformation & Propaganda,723,
all-mpnet-base-v2,-1,Misinformation & Propaganda,726,
all-mpnet-base-v2,-1,Misinformation & Propaganda,736,
