embedding_model,topic_id,topic_label,document_id,score
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,0,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,5,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,6,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,7,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,9,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,11,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,12,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,13,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,14,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,15,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,17,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,18,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,19,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,20,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,23,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,24,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,29,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,32,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,33,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,36,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,38,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,40,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,41,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,46,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,49,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,57,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,63,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,69,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,73,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,76,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,80,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,87,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,90,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,94,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,96,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,101,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,107,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,110,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,111,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,114,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,115,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,117,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,118,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,119,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,121,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,124,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,127,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,129,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,135,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,139,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,144,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,147,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,148,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,149,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,150,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,153,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,158,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,159,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,161,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,164,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,168,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,171,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,178,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,181,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,182,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,192,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,196,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,197,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,201,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,203,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,204,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,207,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,210,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,212,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,215,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,216,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,217,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,222,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,225,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,227,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,229,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,234,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,235,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,237,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,239,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,240,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,244,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,247,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,248,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,252,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,254,
