embedding_model,topic_id,topic_label,document_id,score
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,2,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,9,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,13,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,25,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,26,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,27,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,28,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,29,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,30,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,33,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,42,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,46,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,47,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,55,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,56,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,60,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,66,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,69,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,72,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,76,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,78,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,81,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,88,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,96,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,97,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,98,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,100,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,101,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,102,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,105,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,108,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,112,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,113,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,115,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,116,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,119,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,120,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,121,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,123,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,124,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,127,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,130,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,134,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,135,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,136,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,137,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,138,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,144,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,149,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,150,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,151,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,152,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,165,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,167,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,171,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,176,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,178,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,181,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,186,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,194,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,214,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,218,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,220,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,222,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,223,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,226,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,229,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,230,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,231,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,237,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,239,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,240,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,241,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,242,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,244,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,249,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,257,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,263,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,265,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,271,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,272,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,275,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,279,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,281,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,286,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,290,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,291,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,292,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,308,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,309,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,312,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,313,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,315,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,331,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,332,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,342,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,344,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,347,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,352,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,354,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,355,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,356,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,365,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,368,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,371,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,375,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,377,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,380,
