topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,308,"news, fake, social, information, media, detection, accuracy, model, veracity, data"
0,T000,Fact-Checking & Verification,18,"rumor, stance, rumors, conversation, stances, tree, channels, veracity, structural, multitask"
1,T001,Misinformation & Propaganda,18,"workers, misinformation, statements, crowd, truthfulness, crowdsourcing, bias, partisan, assessments, biases"
2,T002,Misinformation & Propaganda,17,"news, fake, internet, false, online, people, accuracy, articles, increased, readers"
3,T003,"fact, verification",16,"fact, verification, evidence, fever, graph, claim, debiasing, sentences, causal, model"
4,T004,"web, iq",15,"web, iq, facts, information, data, deception, sources, veracitydeception, iqa, knowledge"
5,T005,"images, image",15,"images, image, picture, model, manipulated, satellite, photos, synthetic, generative, splicing"
6,T006,Credibility Assessment,15,"tweets, twitter, credibility, microblogs, centrality, events, tweet, features, microblog, users"
7,T007,Misinformation & Propaganda,13,"news, fake, technological, development, proposed, stance, machinegenerated, information, based, detection"
8,T008,Misinformation & Propaganda,13,"news, factbased, detection, fake, multimodal, consistency, methods, predictions, paradigm, models"
9,T009,"llms, language",12,"llms, language, models, hallucination, llm, large, hallucinations, untruthful, tasks, ccvp"
10,T010,Fact-Checking & Verification,12,"rumors, rumor, twitter, tweets, trends, media, social, flood, events, veracity"
11,T011,"deepfake, videos",12,"deepfake, videos, video, facial, dfdm, layer, detection, methods, seniors, deepfakes"
12,T012,Misinformation & Propaganda,11,"news, fake, ideological, fakeness, scene, belief, 2018, political, problem, contextual"
13,T013,Misinformation & Propaganda,11,"detectysf, fake, job, news, fraudulent, detection, adversarial, postings, external, lstm"
14,T014,Journalism & Media Studies,11,"platforms, social, media, islamic, features, model, information, order, news, content"
15,T015,"health, medical",10,"health, medical, healthcare, healthrelated, online, trustworthiness, criteria, service, medfact, websites"
16,T016,"fact, statement",10,"fact, statement, checking, related, determine, truthful, climate, ranking, deception, search"
17,T017,"face, deepfake",10,"face, deepfake, facial, images, faces, features, lowresolution, deepfakes, feature, counterfeit"
18,T018,Misinformation & Propaganda,10,"reviews, review, online, products, reviewers, behavioral, consumers, fake, features, customers"
19,T019,Misinformation & Propaganda,9,"lexicomp, misinformation, adverse, health, rcts, 0001, discrepancies, dq, vi, gonorrhea"
20,T020,Misinformation & Propaganda,9,"news, dnfn, graph, fake, detection, networks, recurrent, model, neural, models"
21,T021,Credibility Assessment,9,"social, media, trust, communities, user, multicriteria, posts, users, management, information"
22,T022,"audio, speech",9,"audio, speech, deepfake, spoofed, conversion, add, eer, mono, mfaan, voice"
23,T023,Misinformation & Propaganda,9,"news, fake, media, features, social, mbilstm, users, drn, linguistic, weight"
24,T024,Journalism & Media Studies,9,"media, enf, digital, news, mibemc, recording, like, metadata, decentralized, social"
25,T025,"deepfake, detection",8,"deepfake, detection, deepfakes, xception, dfdc, digital, feature, module, adversarial, security"
26,T026,"image, digital",8,"image, digital, images, recoloring, recolored, processing, forgery, forged, detection, interchannel"
27,T027,Misinformation & Propaganda,8,"news, media, social, publishers, fake, adam, adadelta, network, optimization, rapid"
28,T028,"liars, claim",8,"liars, claim, questions, details, task, origin, statements, cbca, cbcascores, subquestions"
29,T029,"videos, deepfake",8,"videos, deepfake, deep, video, hpe, content, fakes, swap, facial, portrait"
30,T030,"health, abortion",8,"health, abortion, parents, search, videos, quality, healthtrust, sites, score, intervention"
31,T031,Credibility Assessment,8,"trust, epistemic, trustworthiness, sns, users, information, distrust, sn, reliability, fr"
32,T032,"ai, aibased",8,"ai, aibased, layered, indicators, blockchain, model, detection, gene, xflag, svms"
33,T033,Credibility Assessment,7,"bloggers, microblog, user, blog, entries, content, users, credibility, information, level"
34,T034,Credibility Assessment,7,"information, geographic, web, geospatial, grown, countries, factors, databases, online, credibility"
35,T035,"pipeline, claim",7,"pipeline, claim, evidence, verification, base, pipelines, pairwise, automated, argument, knowledge"
36,T036,Rumor on Social Media,7,"cascade, cascades, cascadelstm, network, information, social, networks, rumors, health, networking"
37,T037,"light, image",7,"light, image, doctoring, direction, source, forensic, digital, intensity, ds, theory"
38,T038,Misinformation & Propaganda,7,"layer, news, vector, fake, model, word, traditional, proposal, ml, sentences"
39,T039,Credibility Assessment,6,"reviews, spam, review, online, opinion, deceptive, deception, consumers, trust, purchase"
40,T040,Credibility Assessment,6,"covid19, ccfd, covid19related, votes, interface, credibility, data, ols, machinelearned, usability"
41,T041,"checking, fact",6,"checking, fact, multiclaim, statement, kgs, kg, category, multiple, knowledge, claims"
42,T042,Misinformation & Propaganda,6,"ais, msw, maritime, et, al, ai, toolbox, intelligence, artificial, disinformation"
43,T043,"messaging, crowdsensing",6,"messaging, crowdsensing, messages, whatsapp, manet, sonata, applications, message, mobile, city"
44,T044,"tamper, image",5,"tamper, image, tampering, images, superresolution, stereo, regions, tampered, spliced, edges"
45,T045,"machine, integrity",5,"machine, data, integrity, study, training, era, cheapfakes, learning, vectorized, digital"
46,T046,"feedback, immediate",5,"feedback, immediate, deep, nonphysical, news, learning, experiment, samples, recognition, classifier"
47,T047,"multimodal, manipulation",5,"multimodal, manipulation, hammer, reasoning, dgm4, intra, crossmodal, contrastive, biases, mmvd"
48,T048,Misinformation & Propaganda,5,"bert, title, news, networks, framework, fake, instrument, analysis, modeled, intelligent"
49,T049,Misinformation & Propaganda,5,"argumentation, disinformation, inceptionresnetv2, fusion, data, albert, sources, using, critical, web"
50,T050,Journalism & Media Studies,5,"images, social, media, instagram, forged, alexnet, snapchat, threats, app, whats"
51,T051,Misinformation & Propaganda,5,"news, autoencoder, variational, fake, false, blockchain, websites, experts, bimodal, hindi"
52,T052,"lab, checkthat",5,"lab, checkthat, pages, task, asks, claim, evaluation, target, clef, predict"
53,T053,"students, health",5,"students, health, covid19, checklist, law, spanishspeaking, male, tcn, zipfs, vaccine"
54,T054,"regions, image",5,"regions, image, nonnatural, lossy, residual, forgery, wcbnet, manipulation, feature, localization"
55,T055,Misinformation & Propaganda,5,"children, reflection, news, fake, cognitive, tfidf, flaws, classifier, age, adaboost"
56,T056,Misinformation & Propaganda,5,"vietnamese, fake, news, glove, research, arabic, sdt, hipo, tsa, real"
