embedding_model,topic_id,topic_label,document_id,score
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,0,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,3,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,9,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,15,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,19,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,22,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,30,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,36,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,37,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,39,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,42,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,47,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,51,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,52,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,53,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,54,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,56,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,57,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,59,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,67,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,69,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,70,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,71,
