embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,2,,5.6154656,6.870125,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,,5.9003673,6.5979047,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,7,,2.3881218,8.147994,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,11,,3.7662175,6.483745,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,14,,-1.22805,9.167215,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,15,,6.1269,6.95305,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,,2.3643653,7.950801,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,28,,-1.0375535,9.33342,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,33,,3.9805257,5.701055,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,34,,0.5169536,8.565581,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,,0.88513327,8.520643,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,,7.2192454,7.631787,3.568258047103882,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.57",False
