
id,source,query,doi,url,title,author,year,keywords,series,venue,location,citations_number,paper_type,abstract,model_answer,model_explanation,version
346,ACM,Information Authenticity Evaluation,10.1145/3630106.3659012,https://doi.org/10.1145/3630106.3659012,AI as a Sport: On the Competitive Epistemologies of Benchmarking,"Orr, Will and Kang, Edward B.",2024,"Benchmark datasets., Benchmarking for generative AI, History of benchmarking, Machine learning benchmarks, Machine learning competitions",FAccT '24,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency","Rio de Janeiro, Brazil",0,,"Artificial Intelligence (AI) systems are evaluated using competitive methods that rely on benchmark datasets to determine performance. These benchmark datasets, however, are often constructed through arbitrary processes that fall short in encapsulating the depth and breadth of the tasks they are intended to measure. In this paper, we interrogate the naturalization of benchmark datasets as veracious metrics by examining the historical development of benchmarking as an epistemic practice in AI research. Specifically, we highlight three key case studies that were crucial in establishing the existing reliance on benchmark datasets for evaluating the capabilities of AI systems: (1) the sharing of Highleyman’s OCR dataset in the 1960s, which solidified a community of knowledge production around a shared benchmark dataset, (2) the Common Task Framework (CTF) of the 1980s, a state-led project to standardize benchmark datasets as legitimate indicators of technical progress; and (3) the Netflix Prize which further solidified benchmarking as a competitive goal within the ML research community. This genealogy highlights how contemporary dynamics and limitations of benchmarking developed from a longer history of collaboration, standardization, and competition. We end with reflections on how this history informs our understanding of benchmarking in the current era of generative artificial intelligence.",No,,prompt-CoT
2473,Scopus,/Information Authenticity Assessment,10.34190/ecel.22.1.1874,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179121628&doi=10.34190%2fecel.22.1.1874&partnerID=40&md5=17703166eb6fef8e8c12c9c395540901,Analysing Gaming Behaviour: Insights on Personality Traits,Chatziavgeri A.; Maya S.,2023,Data Analysis; Educational Game; Gameplay; Gaming Behaviour; Personality,,"Proceedings of the European Conference on e-Learning, ECEL",,0,Conference paper,"Educational games have become an integral part of the educational process at various levels, with their usage rapidly increasing as innovative e-learning methods. These games have proven to be highly engaging and effective in knowledge retention. Previous research primarily focused on the impact of violent video games on behaviour and the correlation between game behaviour and personality. Traditionally personality assessment relies on psychometric questionnaires, with the Big Five Inventory (BFI) being a widely used tool. However, these approaches often have certain drawbacks as respondents tend to carefully consider their answers, prioritizing correctness over authenticity. To address these limitations, novel approaches are being developed that incorporate gaming elements to indirectly measure personality. Therefore, an intriguing question arises: Can the subconscious moves, choices, and behaviours exhibited during gameplay serve as indicators of players' personality? In this case study, we developed an educational game focused on Databases courses for university students. The game aims to capture everyday life experiences at the university such as social connections and curiosity or willingness to try new things, based on the Five-Factor Model (OCEAN). The educational content is presented in the form of a quiz with four possible answers, providing appropriate feedback based on the selected responses. The objectives were to strengthen the knowledge and comprehension of Databases subject and also to gather information about players' gaming behaviour and thus predict their scores on two personality traits: Extraversion and Openness to Experience, based on the Five-Factor Model. A total of 149 computer science students of the University of Macedonia participated in the study by playing the game and completing the BFI questionnaire. We utilized classification algorithms to develop a model to predict student's personality. The goodness of the model was assessed using different metrics and the results showed that it is effective to model both the extraversion and openness personality dimensions using serious games instead of questionnaires. These findings can be used by educators and game designers to develop personalized educational games taking into account learner's personality and thus provide valuable insights for future research in this domain. © 2023 Academic Conferences Limited. All rights reserved.",No,,prompt-CoT
12152,Scopus,/Claim Truthfulness Evaluation,10.1080/00291463.1992.10637055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933490356&doi=10.1080%2f00291463.1992.10637055&partnerID=40&md5=11dae4c27577d4542256918c7b214f16,Reaching consensus in conflict situations in childhood*: A new model integrating habermas’ and selman’s theories,Adalbjarnarpóttir S.,1992,,,Nordisk Psykologi,,3,Article,"A new model of interpersonal communicative actions (ICA) that integrates elements of Habermas’ theory of communicative action and social-cognitive developmental theories is postulated. By the use of hypothetical situations, Habermas’ conception of raising the validity claims of truth, truthfulness, and Tightness in communicative action aiming at consensus over conflicting points of view is explored. The ICA model of four structural-developmental levels of perspective coordination (impulsive, unilateral, reciprocal, mutual) and four functional steps in the communicative process (definition of problem, evaluation of sincerity, perception of fairness, choice of action) is used to examine both developmentally and situationally how these validity claims are questioned. Based on a longitudinal case study involving a peer conflict and a student-teacher conflict, it is hypothesized that individuals raise and redeem validity claims in qualitatively different ways depending on (a) their developmental level of communicative action, and (b) the role of the partner in social interaction. © 1992 Taylor & Francis Group, LLC.",No,,prompt-CoT
5533,Scopus,/Claim Veracity Detection,10.1016/j.jarmac.2019.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076966148&doi=10.1016%2fj.jarmac.2019.10.002&partnerID=40&md5=80c7bcdb15be3aa4f2c2f6d12b83c99c,Human Lie-Detection Performance: Does Random Assignment versus Self-Selection of Liars and Truth-Tellers Matter?,Ask K.; Calderon S.; Mac Giolla E.,2020,Deception; Detection strategy; Lie detection; Random assignment; Self-selection,,Journal of Applied Research in Memory and Cognition,,2,Article,"Deception research has been criticized for its common practice of randomly allocating senders to truth-telling and lying conditions. In this study, we directly compared receivers’ lie-detection accuracy when judging randomly assigned versus self-selected truth-tellers and liars. In a trust-game setting, senders were instructed to lie or tell the truth (random assignment; n = 16) or were allowed to choose to lie or tell the truth of their own accord (self-selection; n = 16). In a sample of receivers (N = 200), we tested two alternative hypotheses, predicting opposite effects of random assignment (vs. self-selection) on receivers’ lie-detection accuracy. Accuracy rates did not differ significantly as a function of veracity assignment, failing to support the claim that random assignment of liars and truth-tellers alters the detectability of deception. Equivalence tests indicated that, while a small effect of random assignment cannot be ruled out, moderate (or larger) effect sizes are unlikely. © 2019 The Authors",No,,prompt-CoT
3186,ACM,Claim Authenticity Assessment,10.1145/3492825,https://doi.org/10.1145/3492825,Data as a Lens for Understanding what Constitutes Credibility in Asylum Decision-making,"Rask Nielsen, Trine and Holten M\o{}ller, Naja",2022,"asylum, asylum decision-making, categorization, credibility, data, discretion, refugees",,Proc. ACM Hum.-Comput. Interact.,,0,,"In asylum decision-making, legal authorities rely on the criterion ""credibility"" as a measure for determining whether an individual has a legitimate asylum claim; that is, whether they have a well-founded fear of persecution upon returning to their country of origin. Nation states, international institutions, and NGOs increasingly seek to leverage data-driven technologies to support such decisions, deploying processes of data cleaning, contestation, and interpretation. We qualitatively analyzed 50 asylum cases to understand how the asylum decision-making process in Denmark leverages data to configure individuals as credible (or not). In this context, data can vary from the applicant's testimony to data acquired on the applicant from registers and alphanumerical data. Our findings suggest that legal authorities assess credibility through a largely discretionary practice, establishing certainty by ruling out divergence or contradiction between the different forms of data and documentation involved in an asylum case. As with other reclassification processes [following Bowker and Star 1999], credibility is an ambiguous prototypical concept for decision-makers to attempt certainty, especially important to consider in the design of data-driven technologies where stakeholders have differential power.",No,,prompt-CoT
7421,Scopus,/Information Veracity Detection,10.4018/IJITSA.2018070102,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045923891&doi=10.4018%2fIJITSA.2018070102&partnerID=40&md5=3a41bd49b96fe1bd426ccba9b7a9d5ac,An Efficient Complex Event Processing Algorithm Based on NFA-HTBTS for Massive RFID Event Stream,Wang J.; Lu S.; Lan Y.; Cheng L.,2018,B+ tree; Complex event processing; NFA; RFID event stream,,International Journal of Information Technologies and Systems Approach,,1,Article,"This article describes how quickly picking up some valuable information from massive RFID event stream often faces with the problem of long detection time, high memory consumption and low detection efficiency due to its stream characteristics of volume, velocity, variety, value and veracity. Aim to solving the problems above, an efficient complex event processing method based on NFA-HTBTS (Nondeterministic Finite Automaton-Hash Table B+ Tree Structure) is presented in this article. The achievement of this article lies in that we successfully use the union of NFA and HTBTS to realize the detection of complex event in massive RFID event stream. Specially, in our scheme, after using NFA to match related primitive events from massive RFID event stream, we use hash table and B+ tree structure to successfully realize the detection of complex event from large matched results above, as a result, these problems existed in current methods above can be effectively solved by our scheme. The simulation results show that our proposed scheme outperforms some general methods for massive RFID event stream. Copyright © 2018, IGI Global.",No,,prompt-CoT
12072,Scopus,/Evidence Authenticity Assessment,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345399511&partnerID=40&md5=eecc26338a8f27d680c649ca7294f038,Standardisation of the detection of invert sugar addition to apple juice by capillary gas chromatography,Stöber P.; Lamoureux T.; Martin G.G.; Durgnat J.-M.; Hischenhuber C.,1998,Apple juice; Authenticity control; Capillary gas chromatography; Invert sugar; Standardisation,,Zeitschrift fur Lebensmittel -Untersuchung und -Forschung,,4,Article,"Capillary gas chromatography (CGC) can be used to check the authenticity of various fruit juices by analysing their oligosaccharide fingerprint profile. Thus, it enables the analyst to detect, for instance, the dilution of apple juice concentrates with cheaper sweeteners such as invert sugar syrup. In order to detect this, two marker peaks (IS1 and IS2) that are present in most invert sugar syrups are monitored in the CGC chromatogram of apple juice. In freshly pressed apple juice, these peaks are normally not found. As a result of apple juice processing and, in particular, the thermal treatment required to concentrate and pasteurise the juice, these peaks may however be present in authentic apple juice concentrate and juice made from it. It is nevertheless possible to distinguish between juice showing this ""heat effect"" and that to which invert sugar has been added since the IS2/IS1 peak ratio is very different in heated apple juice and in invert sugar syrups. Measuring this ratio and setting a maximum IS2/ IS1 cut-off limit enables the analyst to assess whether the sample meets the set norms or has been adulterated. In the past, many laboratories experienced difficulties when comparing the results of this analysis and, in particular, IS2/IS1 peak ratios. We present evidence that this unsatisfactory situation is mainly due to the chromatographic behaviour of the IS1 peak. It appears indeed to be difficult to set up chromatographic conditions in all laboratories in order to produce reproducible results of the IS2/IS1 ratio. We have therefore examined the possibility of standardising results of this analysis and demonstrate that the comparison of any unknown apple juice sample with an external apple juice reference sample enables different laboratories to reach similar conclusions. The IS2/IS1 peak ratio in this reference sample was adjusted to the significant cut-off limit. The assessment (fail or pass) is thus based on a standardised IS2/IS1 ratio that is independent of several important analytical parameters which tend to strongly influence it. © Springer-Verlag 1998.",No,,prompt-CoT
9680,Scopus,/Information Trustworthiness Evaluation,10.1109/CCIS.2012.6664590,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890326183&doi=10.1109%2fCCIS.2012.6664590&partnerID=40&md5=78b6c37e1f75c22c000c567575b4c1be,Mining and analyzing the characteristic of projects collaborative relationship in open source software,Wang B.; Shi M.,2013,evaluation of trustworthiness; open source software; projects collaborative relationship; trusted software,,"Proceedings - 2012 IEEE 2nd International Conference on Cloud Computing and Intelligence Systems, IEEE CCIS 2012",,0,Conference paper,"This paper focus on the relationship between projects that have same participants. A definition of projects collaborative relationship has been presented, and a projects collaborative network model is constructed. By mining and analyzing more than 10000 projects from sourceforge.net, we find that the projects collaborative relationship of software has a great impact on software trustworthiness. The number of project's collaborative project and the proportion of project's participants, who also join in other projects, are mostly important factors of projects collaborative network. © 2012 IEEE.",No,,prompt-CoT
10442,Scopus,/Evidence Trustworthiness Measurement,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052661533&partnerID=40&md5=0d40140e3d34632975be94f486452b3a,Trusted dynamic measurement based on interactive Markov chains,Zhuang L.; Cai M.; Shen C.,2011,Functionality measurement; Interactive Markov chains; Performance measurement; Trusted computing; Trusted dynamic measurement,,Jisuanji Yanjiu yu Fazhan/Computer Research and Development,,10,Article,"Trusted computing ensures trustworthiness of a platform through extending the trust boundary from the root to the whole platform. Trusted measurement is invoked before the trust boundary is extended from one entity to including another. Static measurement, which takes place at startup, cannot ensure runtime trustworthiness, and therefore dynamic trusted measurement is indispensable to guarantee a computer platform to run dependably. According to dependability, availability and security of information and behavior, targets of trusted measurement are established. In present schemes of dynamic trusted measurement, the measurement of functionality is focused on, whereas dependability cannot be guaranteed without the measurement of performance. Based on interactive Markov chains (IMC), the measurement of performance feature besides function feature is introduced. In the expected behavior description, the function expectation is described through a model of transition system and the performance expectation is described through relating path probability indicating dependability to the time expectation in which a certain specific behavior function is achieved. By comparing the runtime evidence of a platform with a specific expectation, trusted verification on a combination of functionality and performance is achieved. The trusted dynamic measurement model based on IMC ensures dependability in the feature of performance besides function and guarantees trustworthiness of a platform across the board.",No,,prompt-CoT
6190,ACM,Fake News Authenticity Verification,10.1145/3308560.3316760,https://doi.org/10.1145/3308560.3316760,How Partisanship and Perceived Political Bias Affect Wikipedia Entries of News Sources,"Umarova, Khonzodakhon and Mustafaraj, Eni",2019,"editing, google search, knowledge panels, political bias, wikipedia",WWW '19,Companion Proceedings of The 2019 World Wide Web Conference,"San Francisco, USA",0,,"Increased polarization and partisanship have become a consistent state of politics, media, and society, especially in the United States. As many news publishers are perceived as “biased” and some others have come under attack as being “fake news”, efforts to make such labels stick have increased too. In some cases (e.g., InfoWars), the use of such labels is legitimate, because some online publishers deliberately spread conspiracy theories and false stories. Other news publishers are perceived as partisan and biased, in ways that damages their reporting credibility. Whether political bias affects journalism standards appears to be a debated topic with no clear consensus. Meanwhile, labels such as “far-left” or “alt-right” are highly contested and may become cause for prolonged edit wars on the Wikipedia pages of some news sources. In this paper, we try to shine a light into this phenomenon and its extent, in order to start a conversation within the Wikipedia community about transparent processes for assigning political orientation and journalistic reliability labels to news sources, especially to unfamiliar ones, which users would be more likely to verify by looking them up. As more of Wikipedia’s content is used outside Wikipedia’s “container” (e.g., in search results or by voice personal assistants), the issue of where certain statements appear in the Wikipedia page and their verifiability becomes an urgent one to consider not only by Wikipedia editors, but by third-party information providers too.",No,,prompt-CoT
