embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,4,Crowdsourced Analysis,39,,3.508153,6.7244296,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,64,,3.618631,6.8471785,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,71,,3.5358484,6.7826176,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,97,,3.6074295,6.724035,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,99,,3.0800707,6.4279532,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,193,,3.3318126,6.7618594,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,248,,3.1065795,6.674479,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,297,,3.4650815,6.674078,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,385,,3.5045786,6.8267384,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,412,,3.546125,6.75961,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,430,,3.6003556,6.8364635,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,432,,3.3689568,6.609753,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,448,,2.8711789,6.602963,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,532,,3.633281,6.7386513,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
all-MiniLM-L6-v2,4,Crowdsourced Analysis,614,,3.517011,6.774876,0.28124022483825684,"(np.float64(0.596078431372549), np.float64(0.8745098039215686), np.float64(0.5411764705882353), np.float64(1.0))","T4
0.28",True
