id,doi,title,author,year,keywords,venue,abstract,model_answer,model_explanation,version
6547,10.1097/MD.0000000000016459,A critical review of obstetric and gynecological physical examination videos available on YouTube: Content analysis and user engagement evaluation,Abdulghani H.M.; Haque S.; Ahmad T.; Irshad M.; Sattar K.; Al-Harbi M.M.; Khamis N.,2019,,Medicine,"BACKGROUND: Video-sharing website ""YouTube"" is a growing source of healthcare information. But, the videos uploaded on this open platform are not peer reviewed, therefore, the information available needs to be sufficiently evaluated. No studies have been conducted to evaluate the authenticity and utility of obstetrics and gynecology (Obs/Gyne) physical examination YouTube videos. This study was performed to analyze the sources, contents, and quality of videos about the Obs/Gyne clinical examination available on YouTube. METHODS: A systematic search was performed on YouTube website using the following key words: ""OBSTETRIC,"" ""GYNECOLOGICAL,"" ""SPECULUM OBSTETRIC,"" ""OBSTETRIC CLINICAL,"" ""BIMANUAL PELVIC,"" and ""EXAMINATION"" to analyze the sources, contents, and the quality of YouTube videos about the Obs/Gyne clinical examination during the period between November 2015 and March 2017. The videos were classified into educationally useful and useless based on the content, accuracy of the knowledge, and the demonstration. RESULTS: Out of total 457 screened videos, 176 (38.51%) videos met the pre-set inclusion criteria. After review, out of 176 pertinent videos, 84 (47.7%) videos were found educationally useful, and out of these 84 useful videos, only 29 (34.5%) were highly educational in nature. CONCLUSION: YouTube videos showed variable educational value. Only, a small number of videos were identified as useful and can be used by the medical students for self-directed learning and by the clinical teachers for educational purposes or other academic activities.",No,,prompt-CoT
8237,10.1177/1749975515627186,The Sociology of Fancy-Schmancy: The Notion of ‘Farterism’ and Cultural Evaluation Under the Regime of Radical Suspicion,Schwarz O.,2016,art world; authenticity; criticism; critics; critique; cultural evaluation; culture; field; judgment; online reviews; pretension; reviewers; reviews; sign value; sociology of critique; valuation; value,Cultural Sociology,"Critical sociology suggests that taste judgments are not independent of the social, as actors use them to claim social value. This article demonstrates that this critical perspective has gained currency among laypersons, transforming everyday struggles over cultural evaluation. I discuss the new discursive category ‘farterism’, which emerged in Israel in the 1990s to denounce vain pretence and became ubiquitous in everyday evaluation. I analyse online user-generated reviews on films and restaurants alongside broadsheet newspaper articles to explore how this category is used in different contexts by different actors, which aesthetic surface characteristics are most associated with it and why, and how farterism critique reshapes the relationship between lay judgments and established market (prices) and field/art-world (status) hierarchies. Farterism critique is often used to fend off symbolic violence, but cultural elites use it too, despite their interest. I discuss the implicit ethic behind farterism critique, and its connections with recent transformations of capitalism. © The Author(s) 2016.",No,,prompt-CoT
6737,10.1108/BFJ-02-2018-0072,Consumers’ anti-consumption behavior toward organic food purchase: an analysis using SEM,Ashraf M.A.; Joarder M.H.R.; Ratan S.R.A.,2019,Anti-consumption behaviour; Consumer attitudes; Consumer well-being; Organic food,British Food Journal,"Purpose: The purpose of this paper is to investigate the factors affecting anti-consumption behavior of the consumers toward organic food purchase: in particular, how do individual beliefs about trustworthiness of organic foods, normative structure of social pressure and self-efficacy affect individual intentions to make organic food purchases and actual purchasing behavior? To answer this question, a theoretical framework of the theory of planned behavior (TPB) as its foundation has been established. Using measurement scales in order to measure different aspects of trustworthiness, normative structure, self-efficacy, attitude, perceived behavioral control (PBC) and subjective norms, a survey instrument has been developed to examine the several associations implied by the model of TPB. Design/methodology/approach: In doing so, data on a structured questionnaire were collected from various parts of a city based on convenience random sampling procedure. The respondents were interviewed face-to-face to collect information on a structured questionnaire. Data (n=337) were analyzed using a research framework formulated based on the TPB through the structural equation modeling procedure. Findings: The findings of the study indicate that among the seven independent variables of trustworthiness, normative structure, self-efficacy, attitude, subjective norm and PBC, only subjective norm has not been statistically significant to influence organic food purchase behavior. Research limitations/implications: The result implies that various sociopolitical forces and skewed monthly incomes are inhibiting the consumers (anti-consumption) to increasingly buy the organic food products. Practical implications: In this regard, government, policy planners, academia as well as media have profound roles to play to encourage people to buy more organic food for their health safety and overall consumer well-being. Originality/value: This research is based on primary data collected from the respondents of a sub-urban areas of a metropolitan city. The findings will help formulate a sound food policy for ensuring social well-being of the consumers. © 2018, Emerald Publishing Limited.",No,,prompt-CoT
4394,10.1145/3476415.3476435,Increasing trust in complex machine learning systems: studies in the music domain,"Kim, Jaehun",2021,,SIGIR Forum,"Machine learning (ML) has become a core technology for many real-world applications. Modern ML models are applied to unprecedentedly complex and difficult challenges, including very large and subjective problems. For instance, applications towards multimedia understanding have been advanced substantially. Here, it is already prevalent that cultural/artistic objects such as music and videos are analyzed and served to users according to their preference, enabled through ML techniques.One of the most recent breakthroughs in ML is Deep Learning (DL), which has been immensely adopted to tackle such complex problems. DL allows for higher learning capacity, making end-to-end learning possible, which reduces the need for substantial engineering effort, while achieving high effectiveness. At the same time, this also makes DL models more complex than conventional ML models. Reports in several domains indicate that such more complex ML models may have potentially critical hidden problems: various biases embedded in the training data can emerge in the prediction, extremely sensitive models can make unaccountable mistakes. Furthermore, the black-box nature of the DL models hinders the interpretation of the mechanisms behind them. Such unexpected drawbacks result in a significant impact on the trustworthiness of the systems in which the ML models are equipped as the core apparatus.In this thesis, a series of studies investigates aspects of trustworthiness for complex ML applications, namely the reliability and explainability. Specifically, we focus on music as the primary domain of interest, considering its complexity and subjectivity. Due to this nature of music, ML models for music are necessarily complex for achieving meaningful effectiveness. As such, the reliability and explainability of music ML models are crucial in the field.The first main chapter of the thesis investigates the transferability of the neural network in the Music Information Retrieval (MIR) context. Transfer learning, where the pre-trained ML models are used as off-the-shelf modules for the task at hand, has become one of the major ML practices. It is helpful since a substantial amount of the information is already encoded in the pre-trained models, which allows the model to achieve high effectiveness even when the amount of the dataset for the current task is scarce. However, this may not always be true if the ""source"" task which pre-trained the model shares little commonality with the ""target"" task at hand. An experiment including multiple ""source"" tasks and ""target"" tasks was conducted to examine the conditions which have a positive effect on the transferability. The result of the experiment suggests that the number of source tasks is a major factor of transferability. Simultaneously, it is less evident that there is a single source task that is universally effective on multiple target tasks. Overall, we conclude that considering multiple pre-trained models or pre-training a model employing heterogeneous source tasks can increase the chance for successful transfer learning.The second major work investigates the robustness of the DL models in the transfer learning context. The hypothesis is that the DL models can be susceptible to imperceptible noise on the input. This may drastically shift the analysis of similarity among inputs, which is undesirable for tasks such as information retrieval. Several DL models pre-trained in MIR tasks are examined for a set of plausible perturbations in a real-world setup. Based on a proposed sensitivity measure, the experimental results indicate that all the DL models were substantially vulnerable to perturbations, compared to a traditional feature encoder. They also suggest that the experimental framework can be used to test the pre-trained DL models for measuring robustness.In the final main chapter, the explainability of black-box ML models is discussed. In particular, the chapter focuses on the evaluation of the explanation derived from model-agnostic explanation methods. With black-box ML models having become common practice, model-agnostic explanation methods have been developed to explain a prediction. However, the evaluation of such explanations is still an open problem. The work introduces an evaluation framework that measures the quality of the explanations employing fidelity and complexity. Fidelity refers to the explained mechanism's coherence to the black-box model, while complexity is the length of the explanation.Throughout the thesis, we gave special attention to the experimental design, such that robust conclusions can be reached. Furthermore, we focused on delivering machine learning framework and evaluation frameworks. This is crucial, as we intend that the experimental design and results will be reusable in general ML practice. As it implies, we also aim our findings to be applicable beyond the music applications such as computer vision or natural language processing.Trustworthiness in ML is not a domain-specific problem. Thus, it is vital for both researchers and practitioners from diverse problem spaces to increase awareness of complex ML systems' trustworthiness. We believe the research reported in this thesis provides meaningful stepping stones towards the trustworthiness of ML.",No,,prompt-CoT
7250,10.3390/app8101898,Comprehensive evaluation on an ID-based side-channel authentication with FPGA-Based AES,Li Y.; Kasuya M.; Sakiyama K.,2018,AES; FPGA; Leakage model; Side-channel authentication,Applied Sciences (Switzerland),"Various electronic devices are increasingly being connected to the Internet. Meanwhile, security problems, such as fake silicon chips, still exist. The significance of verifying the authenticity of these devices has led to the proposal of side-channel authentication. Side-channel authentication is a promising technique for enriching digital authentication schemes. Motivated by the fact that each cryptographic device leaks side-channel information depending on its used secret keys, cryptographic devices with different keys can be distinguished by analyzing the side-channel information leaked during their calculation. Based on the original side-channel authentication scheme, this paper adapts an ID-based authentication scheme that can significantly increase the authentication speed compared to conventional schemes. A comprehensive study is also conducted on the proposed ID-based side-channel authentication scheme. The performance of the proposed authentication scheme is evaluated in terms of speed and accuracy based on an FPGA-based AES implementation. With the proposed scheme, our experimental setup can verify the authenticity of a prover among 270 different provers within 0.59 s; this could not be handled effectively using previous schemes. © 2018 by the authors.",No,,prompt-CoT
7926,10.1109/ICCD.2017.55,FSM anomaly detection using formal analysis,Farahmandi F.; Mishra P.,2017,Fault Injection Attacks; Formal Analysis; FSM Vulnerabilities; Hardware Trojan Detection,"Proceedings - 35th IEEE International Conference on Computer Design, ICCD 2017","Finite state machines (FSMs) control the functionality of the overall design. Any deviation from the specified FSM behavior can endanger the trustworthiness of the design. This is a critical concern when an FSM is responsible for controlling the usage or propagation of protected information (e.g. secret keys) in a secure component. FSM vulnerabilities can be created by a rogue designer or an attacker by inserting hardware Trojans in the FSM implementation. The vulnerability can also be introduced unintentionally by a CAD tool (e.g., when a synthesis tool is trying to optimize a gate-level netlist). In this paper, we present an efficient formal analysis framework based on symbolic algebra to find FSM vulnerabilities. The proposed method tries to find inconsistencies between the specification and FSM implementation through manipulation of respective polynomials. Security properties (such as a safe transition to a protected state) are derived using specification polynomials and verified against implementation polynomials. In a case of a failure, the vulnerability is reported. While existing methods can verify legal transitions, our approach tries to solve the important and non-trivial problem of detecting illegal accesses to the design states (e.g., protected states). We demonstrated the merit of our proposed method by detecting the vulnerabilities in various FSM designs, while state-of-the-approaches failed to identify the security flaws. © 2017 IEEE.",No,,prompt-CoT
1244,10.1109/ACCESS.2024.3413696,Web-Biometrics for User Authenticity Verification in Zero Trust Access Control,Sasada T.; Taenaka Y.; Kadobayashi Y.; Fall D.,2024,user authenticity; web-biometrics; Zero trust access control; zero trust network,IEEE Access,"In the case of remote work, once a user completes account authentication, they can continue to access confidential data without further verification of user identity. Thus, if a user's device or authentication information is leaked/stolen by an adversary or shared with a third party, the confidentiality of the data is violated. Previous studies have proposed classical biometrics-based verification of user authenticity. This method could identify whether a user was an adversary or not, but could not verify whether the account operator was a legitimate user. Moreover, since the architecture of ZTAC was not designed for the use of biometrics, it could not effectively control the various access patterns of adversaries in remote work. In this study, we propose a user authenticity verification method based on biometrics, designed for use in ZTAC. By designing and monitoring web biometrics that can verify that the account operator is a legitimate user, we aim to realize a system that provides appropriate access control for accounts after authentication according to the verification results of behavioral/cognitive patterns on the browser. Achieving dynamic access control independent of authentication results enables secure management of confidential data in remote work. In the evaluation experiment, we classified the access patterns of adversaries in remote work and confirmed that the system can appropriately control each of them. Additionally, measuring the response time to access requests showed that the evaluation experiment resulted in delays of no more than approximately 130 milliseconds, confirming that the migration to the proposed method has a very low impact on the system load.  © 2013 IEEE.",No,,prompt-CoT
5591,10.1108/EJM-10-2018-0690,Authenticity and exclusivity appeals in luxury advertising: the role of promotion and prevention pride,Septianto F.; Seo Y.; Sung B.; Zhao F.,2020,Authenticity; Exclusivity; Luxury advertising; Prevention focus; Pride; Promotion focus,European Journal of Marketing,"Purpose: This study aims to investigate how the effectiveness of luxury advertising can be improved by matching the emotional (promotion pride vs prevention pride) and luxury value (authenticity vs exclusivity) appeals within advertising messages. Design/methodology/approach: Three experiments were conducted. Studies 1A and 1B establish the influence of incidental emotions and regulatory focus on consumer preferences for divergent luxury value appeals (exclusivity vs authenticity) within advertisements. Study 2 shows the match-up effects of congruent emotional and luxury value appeals on advertising effectiveness. Findings: The authors offer causal evidence that promotion pride increases the preference for exclusivity appeals, whereas prevention pride increases the preference for authenticity appeals in luxury advertising. Research limitations/implications: The study offers a novel perspective into the ways consumers evaluate different value appeals in luxury advertising and establishes the important role played by emotions within such evaluations. Practical implications: Marketers of luxury products can increase the effectiveness of their advertising campaigns by considering the fit between emotional and luxury value appeals. Specifically, the authors show that the congruent matching of promotion pride with exclusivity appeals and of prevention pride with authenticity appeals within advertising messages can elicit more favorable consumer responses. Originality/value: The study is the first to illustrate novel “match-up” effects: it shows when and how different luxury value appeals (exclusivity vs authenticity) and emotions (promotion pride vs prevention pride) influence the effectiveness of luxury advertising. © 2020, Emerald Publishing Limited.",No,,prompt-CoT
767,10.1093/pa/gsad022,Big Little Election Lies: Cynical and Credulous Evaluations of Electoral Fraud,Norris P.,2024,Elections; Electoral Integrity; Information society; Trust; Trustworthiness,Parliamentary Affairs,"The ‘Big Lie’ in American politics has sparked intense concern about the erosion of public confidence in the integrity of US elections—raising questions about the legitimacy of the authorities, institutions, and principles of democratic governance. Cynicism generated from misinformation about trustworthy elections has attracted a growing body of individual-level social-psychological research in America and Europe. Another common problem found around the world, however, which has received far less attention, concerns credulous citizens who express considerable faith and confidence in flawed contests. This study theorises that at macro-level, the accuracy of any public judgments about trustworthy elections is likely to be mediated by the information environment in open and closed societies, as well as by the type of regime. To understand these issues, Part I summarises the conceptual and theoretical argument about trust and trustworthiness. Part II describes the sources of evidence. To apply the theory, data on public opinion is drawn from around 85 societies around the globe included in Waves 6 and 7 of the World Values Survey (2010–2022), with measures of electoral trust and subjective perceptions of electoral integrity among ordinary citizens. Institutional electoral performance indices are drawn from the Varieties of Democracy project (V-Dem 12.0). Part III analyses how far these independent estimates match public judgments of the trustworthiness of elections in each country – and how far such relationships are conditioned by the type of information society as well as by the type of regime. Part IV highlights the key findings and considers their broader implications for understanding the macro-level conditions for trust and trustworthiness. © The Author(s) 2023. Published by Oxford University Press on behalf of the Hansard Society. All rights reserved.",No,,prompt-CoT
7411,10.31341/jios.42.1.4,Methodology of evaluating the sufficiency of information for software quality assessment according to ISO 25010,Hovorushchenko T.,2018,ISO 25010; Software; Software quality; Software requirements specification (SRS); Sufficiency of information,Journal of Information and Organizational Sciences,"The research is devoted to the development of the formalized and ontological models of the software quality according to ISO 25010. These models provide the possibility of the formalization of the software quality assessment according to ISO 25010. This standard would benefit from a formal description. The paper proves that information sufficiency is a critical aspect of software quality assessment. The methods and system of evaluating the sufficiency of the information for software quality assessment according to ISO 25010 are developed. The developed methods and tools provide the increasing the veracity of software quality assessment. The conducted experiments confirm that the developed methodology of evaluating the sufficiency of information for software quality assessment increased the veracity of the software quality assessment in 12% for the automated system for large-format photo print. © 2018, University of Zagreb, Faculty of Organization and Informatics. All rights reserved.",No,,prompt-CoT
