embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,3,,-0.43333694,5.0197687,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,7,,1.1973164,5.319145,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,8,,1.8211076,3.0277827,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,9,,0.9027439,3.1854913,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,11,,1.6580572,3.448976,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,16,,2.080521,7.805891,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,18,,1.7331452,7.937243,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,21,,1.8489933,3.1009579,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,23,,-0.7182933,4.3785734,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,27,,-2.652026,10.83134,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,28,,-2.8231301,10.803177,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,30,,-0.62230694,4.8549337,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,32,,-0.4698242,4.1400356,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,33,,-0.72386366,4.0053234,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,34,,-2.9230855,10.162289,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,40,,3.4295907,6.562515,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,41,,-1.4090303,11.32662,3.6926352977752686,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.69",False
