embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,,-1.923353,2.55098,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,8,,-0.45242617,3.3940287,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,,2.2005906,2.03789,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,17,,0.68425524,4.064487,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,,-2.0722234,4.732335,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,20,,3.0844953,2.2554905,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,24,,3.2080061,3.6791353,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,25,,3.9748845,3.1833756,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,26,,2.4852052,2.3404853,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,27,,2.8374295,2.5433989,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,32,,1.5800939,4.221327,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,33,,1.8614519,5.789449,3.0331478118896484,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.03",False
