embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-mpnet-base-v2,-1,Misinformation & Propaganda,2,,7.1394596,8.573583,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,4,,5.909748,10.04016,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,17,,5.453097,8.015425,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,27,,9.291814,7.6314464,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,30,,8.889378,8.17708,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,31,,6.9978647,7.542263,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,36,,6.1081176,10.656457,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,43,,8.582267,5.2008414,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,58,,7.5686946,6.4620214,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,60,,6.6223726,6.802403,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,73,,9.049239,7.6147118,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,83,,6.0485196,8.072844,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,84,,6.0395484,8.913126,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,85,,5.314887,9.495562,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,87,,7.6503186,3.9498925,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,90,,5.580617,9.19745,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,93,,7.3060594,6.942314,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,97,,6.209537,8.077423,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,105,,7.7588744,3.6290145,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,110,,4.5017514,7.6451488,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
all-mpnet-base-v2,-1,Misinformation & Propaganda,112,,4.8660874,8.453128,3.040489435195923,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
3.04",False
