pre_id,pre_source,pre_query,pre_doi,pre_url,pre_title,pre_author,pre_year,pre_keywords,pre_series,pre_venue,pre_location,pre_citations_number,pre_paper_type,pre_abstract,pre_model_answer,pre_model_explanation,pre_version,pre_raw_llm_output
1774,Scopus,/Claim Trustworthiness Verification,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195917454&partnerID=40&md5=f16b3b81e7b7553d9bfb6e1b5b7a0d3d,HealthFC: Verifying Health Claims with Evidence-Based Medical Fact-Checking,Vladika J.; Schneider P.; Matthes F.,2024,biomedical NLP; claim verification; fact-checking; misinformation; question answering,,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",,2.0,Conference paper,"In the digital age, seeking health advice on the Internet has become a common practice. At the same time, determining the trustworthiness of online medical content is increasingly challenging. Fact-checking has emerged as an approach to assess the veracity of factual claims using evidence from credible knowledge sources. To help advance automated Natural Language Processing (NLP) solutions for this task, in this paper we introduce a novel dataset HealthFC. It consists of 750 health-related claims in German and English, labeled for veracity by medical experts and backed with evidence from systematic reviews and clinical trials. We provide an analysis of the dataset, highlighting its characteristics and challenges. The dataset can be used for NLP tasks related to automated fact-checking, such as evidence retrieval, claim verification, or explanation generation. For testing purposes, we provide baseline systems based on different approaches, examine their performance, and discuss the findings. We show that the dataset is a challenging test bed with a high potential for future use. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.",Yes,"The paper titled “HealthFC: Verifying Health Claims with Evidence-Based Medical Fact-Checking” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears in the peer‑reviewed LREC‑COLING 2024 main conference proceedings. The work directly addresses truthfulness assessment by introducing a dataset of health‑related claims labeled for veracity and providing baseline automated fact‑checking systems that retrieve evidence and verify claims. The study evaluates these systems using performance metrics (e.g., accuracy, precision, recall) and discusses the results, thereby contributing both empirical evaluation and a resource for future truthfulness assessment research in fact‑checking.",prompt-CoT,"Yes

The paper titled “HealthFC: Verifying Health Claims with Evidence-Based Medical Fact-Checking” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears in the peer‑reviewed LREC‑COLING 2024 main conference proceedings. The work directly addresses truthfulness assessment by introducing a dataset of health‑related claims labeled for veracity and providing baseline automated fact‑checking systems that retrieve evidence and verify claims. The study evaluates these systems using performance metrics (e.g., accuracy, precision, recall) and discusses the results, thereby contributing both empirical evaluation and a resource for future truthfulness assessment research in fact‑checking."
1775,Scopus,/Claim Truthfulness Evaluation,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204489869&partnerID=40&md5=7057827856dbc843e9a262a046d96dc9,CHECKWHY: Causal Fact Verification via Argument Structure,Si J.; Zhao Y.; Zhu Y.; Zhu H.; Lu W.; Zhou D.,2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,0.0,Conference paper,"With the growing complexity of fact verification tasks, the concern with “thoughtful” reasoning capabilities is increasing. However, recent fact verification benchmarks mainly focus on checking a narrow scope of semantic factoids within claims and lack an explicit logical reasoning process. In this paper, we introduce CHECKWHY, a challenging dataset tailored to a novel causal fact verification task: checking the truthfulness of the causal relation within claims through rigorous reasoning steps. CHECKWHY consists of over 19K “why” claim-evidence-argument structure triplets with supports, refutes, and not enough info labels. Each argument structure is composed of connected evidence, representing the reasoning process that begins with foundational evidence and progresses toward claim establishment. Through extensive experiments on state-of-the-art models, we validate the importance of incorporating the argument structure for causal fact verification. Moreover, the automated and human evaluation of argument structure generation reveals the difficulty in producing satisfying argument structure by fine-tuned models or Chain-of-Thought prompted LLMs, leaving considerable room for future improvements. © 2024 Association for Computational Linguistics.",Yes,"The paper titled ""CHECKWHY: Causal Fact Verification via Argument Structure"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing the truthfulness of causal relations in claims, situating the work firmly within fact‑checking and misinformation detection. Moreover, the study reports extensive experiments on state‑of‑the‑art models and provides both automated and human evaluation results, demonstrating the use of evaluation metrics for truthfulness assessment. Overall, the paper makes a relevant technical contribution to truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""CHECKWHY: Causal Fact Verification via Argument Structure"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing the truthfulness of causal relations in claims, situating the work firmly within fact‑checking and misinformation detection. Moreover, the study reports extensive experiments on state‑of‑the‑art models and provides both automated and human evaluation results, demonstrating the use of evaluation metrics for truthfulness assessment. Overall, the paper makes a relevant technical contribution to truthfulness assessment in fact‑checking."
1776,Scopus,/Claim Truthfulness Evaluation,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195982438&partnerID=40&md5=27082742a15a4b3cb964dbab5b188ac5,PACAR: Automated Fact-Checking with Planning and Customized Action Reasoning using Large Language Models,Zhao X.; Wang L.; Wang Z.; Cheng H.; Zhang R.; Wong K.-F.,2024,Automated Fact-Checking; Evidence Retrieval; Justification Generation; Large Language Model,,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",,0.0,Conference paper,"In an era characterized by the rapid proliferation of information, the pervasive issues of misinformation and disinformation have significantly impacted numerous individuals. Consequently, the evaluation of information's truthfulness and accuracy has attracted substantial attention among researchers. In this work, we present a novel fact-checking framework called PACAR, fact-checking based on Planning And Customized Action Reasoning using LLMs. It comprises four modules: a claim decomposer with self-reflection, an LLM-centric planner module, an executor for carrying out planned actions, and a verifier module that assesses veracity and generates explanations based on the overall reasoning process. Unlike previous work that employs single-path decision-making and single-step veracity prediction, PACAR focuses on the use of LLMs in dynamic planning and execution of actions. Furthermore, in contrast to previous work that relied primarily on general reasoning, we introduce tailored actions such as numerical reasoning and entity disambiguation to effectively address potential challenges in fact-checking. Our PACAR framework, incorporating LLM-centric planning along with customized action reasoning, significantly outperforms baseline methods across three datasets from different domains and with varying complexity levels. Additional experiments, including multidimensional and sliced observations, demonstrate the effectiveness of PACAR and offer valuable insights for the advancement of automated fact-checking. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.",Yes,"The paper titled ""PACAR: Automated Fact-Checking with Planning and Customized Action Reasoning using Large Language Models"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding (LREC‑COLING 2024), indicating that it is a legitimate publication type. The paper directly investigates an automated fact‑checking framework that assesses claim veracity and generates explanations, explicitly linking truthfulness assessment to fact‑checking and misinformation detection. Moreover, the study reports experimental results showing that the proposed system outperforms baseline methods across multiple datasets, implying the use of evaluation metrics such as accuracy, precision, recall, or F1‑score. Overall, the paper provides a relevant technical contribution to truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""PACAR: Automated Fact-Checking with Planning and Customized Action Reasoning using Large Language Models"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding (LREC‑COLING 2024), indicating that it is a legitimate publication type. The paper directly investigates an automated fact‑checking framework that assesses claim veracity and generates explanations, explicitly linking truthfulness assessment to fact‑checking and misinformation detection. Moreover, the study reports experimental results showing that the proposed system outperforms baseline methods across multiple datasets, implying the use of evaluation metrics such as accuracy, precision, recall, or F1‑score. Overall, the paper provides a relevant technical contribution to truthfulness assessment in fact‑checking."
1777,Scopus,/Claim Truthfulness Verification,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204448989&partnerID=40&md5=5b702fd2a807a86ed06a40c1317f608e,MetaSumPerceiver: Multimodal Multi-Document Evidence Summarization for Fact-Checking,Chen T.-C.; Tang C.-W.; Thomas C.,2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,0.0,Conference paper,"Fact-checking real-world claims often requires reviewing multiple multimodal documents to assess a claim's truthfulness, which is a highly laborious and time-consuming task. In this paper, we present a summarization model designed to generate claim-specific summaries useful for fact-checking from multimodal, multi-document datasets. The model takes inputs in the form of documents, images, and a claim, with the objective of assisting in fact-checking tasks. We introduce a dynamic perceiver-based model that can handle inputs from multiple modalities of arbitrary lengths. To train our model, we leverage a novel reinforcement learning-based entailment objective to generate summaries that provide evidence distinguishing between different truthfulness labels. To assess the efficacy of our approach, we conduct experiments on both an existing benchmark and a new dataset of multi-document claims that we contribute. Our approach outperforms the SOTA approach by 4.6% in the claim verification task on the MOCHEG dataset and demonstrates strong performance on our new Multi-News-Fact-Checking dataset. © 2024 Association for Computational Linguistics.",Yes,"The paper titled ""MetaSumPerceiver: Multimodal Multi-Document Evidence Summarization for Fact-Checking"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates an automated summarization model that generates claim‑specific evidence to aid fact‑checking, and it evaluates the model on a claim verification task that distinguishes between different truthfulness labels, thereby focusing explicitly on truthfulness assessment in the context of fact‑checking. Furthermore, the study reports quantitative performance improvements (e.g., a 4.6% gain over the state‑of‑the‑art on the claim verification task), providing clear evaluation metrics for the truthfulness assessment component. Overall, the paper provides a relevant technical contribution to the evaluation of truthfulness in fact‑checking.",prompt-CoT,"Yes

The paper titled ""MetaSumPerceiver: Multimodal Multi-Document Evidence Summarization for Fact-Checking"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates an automated summarization model that generates claim‑specific evidence to aid fact‑checking, and it evaluates the model on a claim verification task that distinguishes between different truthfulness labels, thereby focusing explicitly on truthfulness assessment in the context of fact‑checking. Furthermore, the study reports quantitative performance improvements (e.g., a 4.6% gain over the state‑of‑the‑art on the claim verification task), providing clear evaluation metrics for the truthfulness assessment component. Overall, the paper provides a relevant technical contribution to the evaluation of truthfulness in fact‑checking."
1778,Scopus,/Claim Veracity Assessment,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205309887&partnerID=40&md5=2dbdd1cee52707ece6ea07a44b60443e,Evaluating Large Language Models for Health-related Queries with Presuppositions,Kaur N.; Choudhury M.; Pruthi D.,2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,0.0,Conference paper,"As corporations rush to integrate large language models (LLMs) to their search offerings, it is critical that they provide factually accurate information, that is robust to any presuppositions that a user may express. In this work, we introduce UPHILL, a dataset consisting of health-related queries with varying degrees of presuppositions. Using UPHILL, we evaluate the factual accuracy and consistency of InstructGPT, ChatGPT, GPT-4 and Bing Copilot models. We find that while model responses rarely contradict true health claims (posed as questions), all investigated models fail to challenge false claims. Alarmingly, responses from these models agree with 23-32% of the existing false claims, and 49-55% with novel fabricated claims. As we increase the extent of presupposition in input queries, responses from all models except Bing Copilot agree with the claim considerably more often, regardless of its veracity. Given the moderate factual accuracy, and the inability of models to challenge false assumptions, our work calls for a careful assessment of current LLMs for use in high-stakes scenarios. © 2024 Association for Computational Linguistics.",Yes,"The paper titled ""Evaluating Large Language Models for Health-related Queries with Presuppositions"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates the factual accuracy and consistency of large language models when answering health‑related queries, effectively assessing the truthfulness of generated responses in a fact‑checking context. Moreover, the study reports quantitative evaluation metrics such as agreement rates with true and false claims, providing concrete measures of truthfulness assessment. Overall, the paper offers a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Evaluating Large Language Models for Health-related Queries with Presuppositions"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates the factual accuracy and consistency of large language models when answering health‑related queries, effectively assessing the truthfulness of generated responses in a fact‑checking context. Moreover, the study reports quantitative evaluation metrics such as agreement rates with true and false claims, providing concrete measures of truthfulness assessment. Overall, the paper offers a relevant contribution to the field of truthfulness assessment in fact‑checking."
1779,Scopus,/Claim Veracity Debunking,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205316967&partnerID=40&md5=058cd07923fc5053605ebc94c60d5570,Reinforcement Tuning for Detecting Stances and Debunking Rumors Jointly with Large Language Models,Yang R.; Gao W.; Ma J.; Lin H.; Wang B.,2024,,,Proceedings of the Annual Meeting of the Association for Computational Linguistics,,0.0,Conference paper,"Learning multi-task models for jointly detecting stance and verifying rumors poses challenges due to the need for training data of stance at post level and rumor veracity at claim level, which are difficult to obtain. To address this issue, we leverage large language models (LLMs) as the foundation annotators for the joint stance detection (SD) and rumor verification (RV) tasks, dubbed as JSDRV. We introduce a novel reinforcement tuning framework to enhance the joint predictive capabilities of LLM-based SD and RV components. Specifically, we devise a policy for selecting LLM-annotated data at the two levels, employing a hybrid reward mechanism to choose high-quality labels for effective LLM fine-tuning on both tasks. Results demonstrate that JSDRV improves the capabilities of LLMs in the joint tasks, not only outperforming state-of-the-art methods but also generalizing to non-LLMs accommodated as task models. © 2024 Association for Computational Linguistics.",Yes,"The paper titled ""Reinforcement Tuning for Detecting Stances and Debunking Rumors Jointly with Large Language Models"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing truthfulness by addressing rumor verification—a veracity assessment task—together with stance detection, situating the work firmly in the fact‑checking and misinformation detection domain. Furthermore, the study contributes a novel reinforcement‑tuning framework that serves as a conceptual methodology for improving and evaluating truthfulness assessment, and it reports empirical results that compare against state‑of‑the‑art baselines, thereby providing the necessary evaluation component for the systematic review. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Reinforcement Tuning for Detecting Stances and Debunking Rumors Jointly with Large Language Models"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding published in the Proceedings of the Annual Meeting of the Association for Computational Linguistics, indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing truthfulness by addressing rumor verification—a veracity assessment task—together with stance detection, situating the work firmly in the fact‑checking and misinformation detection domain. Furthermore, the study contributes a novel reinforcement‑tuning framework that serves as a conceptual methodology for improving and evaluating truthfulness assessment, and it reports empirical results that compare against state‑of‑the‑art baselines, thereby providing the necessary evaluation component for the systematic review. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking."
1780,Scopus,/Claim Veracity Detection,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195892197&partnerID=40&md5=6beaf8226431586f2a211b8dc7c7f284,Towards Robust Evidence-Aware Fake News Detection via Improving Semantic Perception,Wu Y.; Xiao Y.; Hu M.; Liu M.; Wang P.; Liu M.,2024,Contrastive Learning; Evidence-Aware Fake News Detection; Robustness,,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",,0.0,Conference paper,"Evidence-aware fake news detection aims to determine the veracity of a given news (i.e., claim) with external evidences. We find that existing methods lack sufficient semantic perception and are easily blinded by textual expressions. For example, they still make the same prediction after we flip the semantics of a claim, which makes them vulnerable to malicious attacks. In this paper, we propose a model-agnostic training framework to improve the semantic perception of evidence-aware fake news detection. Specifically, we first introduce two kinds of data augmentation to complement the original training set with synthetic data. The semantic-flipped augmentation synthesizes claims with similar textual expressions but opposite semantics, while the semantic-invariant augmentation synthesizes claims with the same semantics but different writing styles. Moreover, we design a novel module to learn better claim representation which is more sensitive to the semantics, and further incorporate it into a multi-objective optimization paradigm. In the experiments, we also extend the original test set of benchmark datasets with the synthetic data to better evaluate the model perception of semantics. Experimental results demonstrate that our approach significantly outperforms the state-of-the-art methods on the extended test set, while achieving competitive performance on the original one. Our source code are released at https://github.com/Xyang1998/RobustFND. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.",Yes,"The paper titled ""Towards Robust Evidence-Aware Fake News Detection via Improving Semantic Perception"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, satisfying the language requirement. Secondly, it appears in the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC‑COLING 2024) main conference proceedings, indicating a peer‑reviewed venue. The study directly investigates automated techniques for assessing the veracity of news claims using external evidence, which is a core truthfulness assessment task within fact‑checking and misinformation detection. Moreover, the work evaluates its proposed model using experimental results that compare performance against state‑of‑the‑art methods, implying the use of standard evaluation metrics such as accuracy, precision, recall, or F1‑score. Consequently, the paper provides a relevant technical contribution to truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Towards Robust Evidence-Aware Fake News Detection via Improving Semantic Perception"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, satisfying the language requirement. Secondly, it appears in the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC‑COLING 2024) main conference proceedings, indicating a peer‑reviewed venue. The study directly investigates automated techniques for assessing the veracity of news claims using external evidence, which is a core truthfulness assessment task within fact‑checking and misinformation detection. Moreover, the work evaluates its proposed model using experimental results that compare performance against state‑of‑the‑art methods, implying the use of standard evaluation metrics such as accuracy, precision, recall, or F1‑score. Consequently, the paper provides a relevant technical contribution to truthfulness assessment in fact‑checking."
1783,Scopus,/Claim Veracity Metric,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195963795&partnerID=40&md5=e65a71db94da728d2ba6f82dd4325171,Identifying and Aligning Medical Claims Made on Social Media with Medical Evidence,Hughes A.; Song X.,2024,Evidenced-based Medicine; Information Retrieval; PICO; Synthetic Generators,,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",,0.0,Conference paper,"Evidence-based medicine is the practise of making medical decisions that adhere to the latest, and best known evidence at that time. Currently, the best evidence is often found in the form of documents, such as randomized control trials, meta-analyses and systematic reviews. This research focuses on aligning medical claims made on social media platforms with this medical evidence. By doing so, individuals without medical expertise can more effectively assess the veracity of such medical claims. We study three core tasks: identifying medical claims, extracting medical vocabulary from these claims, and retrieving evidence relevant to those identified medical claims. We propose a novel system that can generate synthetic medical claims to aid each of these core tasks. We additionally introduce a novel dataset produced by our synthetic generator that, when applied to these tasks, demonstrates not only a more flexible and holistic approach, but also an improvement in all comparable metrics. We make our dataset, the Expansive Medical Claim Corpus (EMCC), available at https://zenodo.org/records/8321460. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.",Yes,"The paper titled ""Identifying and Aligning Medical Claims Made on Social Media with Medical Evidence"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding from the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC‑COLING), indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing the veracity of medical claims made on social media by aligning them with evidence from randomized control trials, meta‑analyses, and systematic reviews, situating the work firmly within the fact‑checking and misinformation detection domain. Furthermore, the study reports improvements across comparable evaluation metrics for the three core tasks (claim identification, vocabulary extraction, and evidence retrieval), thereby providing concrete metrics for truthfulness assessment. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled ""Identifying and Aligning Medical Claims Made on Social Media with Medical Evidence"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer‑reviewed conference proceeding from the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC‑COLING), indicating that it is a legitimate publication type. The paper directly investigates automated techniques for assessing the veracity of medical claims made on social media by aligning them with evidence from randomized control trials, meta‑analyses, and systematic reviews, situating the work firmly within the fact‑checking and misinformation detection domain. Furthermore, the study reports improvements across comparable evaluation metrics for the three core tasks (claim identification, vocabulary extraction, and evidence retrieval), thereby providing concrete metrics for truthfulness assessment. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact‑checking."
1784,Scopus,/Claim Veracity Metric,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216934931&partnerID=40&md5=3e28e0b37ebb4e7ec8dc69599030e2fd,AMREx: AMR for Explainable Fact Verification,Jayaweera C.; Youm S.; Dorr B.,2024,,,"FEVER 2024 - 7th Fact Extraction and VERification Workshop, Proceedings of the Workshop",,0.0,Conference paper,"With the advent of social media networks and the vast amount of information circulating through them, automatic fact verification is an essential component to prevent the spread of misinformation. It is even more useful to have fact verification systems that provide explanations along with their classifications to ensure accurate predictions. To address both of these requirements, we implement AMREx, an Abstract Meaning Representation (AMR)-based veracity prediction and explanation system for fact verification using a combination of Smatch, an AMR evaluation metric to measure meaning containment and textual similarity, and demonstrate its effectiveness in producing partially explainable justifications using two community standard fact verification datasets, FEVER and AVeriTeC. AMREx surpasses the AVeriTec baseline accuracy showing the effectiveness of our approach for real-world claim verification. It follows an interpretable pipeline and returns an explainable AMR node mapping to clarify the system’s veracity predictions when applicable. We further demonstrate that AMREx output can be used to prompt LLMs to generate natural-language explanations using the AMR mappings as a guide to lessen the probability of hallucinations. © 2024 Association for Computational Linguistics.",Yes,"The paper “AMREx: AMR for Explainable Fact Verification” meets all inclusion criteria. It is written in English and appears in the peer‑reviewed proceedings of the FEVER 2024 workshop, a recognized venue for fact‑checking research. The work directly investigates an automated system that predicts claim veracity and provides explanations, situating the study firmly within fact‑verification and misinformation detection. The authors evaluate the approach on standard fact‑verification datasets (FEVER and AVeriTeC) and report quantitative results such as accuracy, as well as using the Smatch metric to assess meaning containment, thereby supplying clear evaluation metrics and a conceptual framework for explainable truthfulness assessment.",prompt-CoT,"Yes

The paper “AMREx: AMR for Explainable Fact Verification” meets all inclusion criteria. It is written in English and appears in the peer‑reviewed proceedings of the FEVER 2024 workshop, a recognized venue for fact‑checking research. The work directly investigates an automated system that predicts claim veracity and provides explanations, situating the study firmly within fact‑verification and misinformation detection. The authors evaluate the approach on standard fact‑verification datasets (FEVER and AVeriTeC) and report quantitative results such as accuracy, as well as using the Smatch metric to assess meaning containment, thereby supplying clear evaluation metrics and a conceptual framework for explainable truthfulness assessment."
1785,Scopus,/Claim Veracity Verification,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186679726&partnerID=40&md5=901a7b354153f8a30adecf04742c8feb,MAPLE: Micro Analysis of Pairwise Language Evolution for Few-Shot Claim Verification,Zeng X.; Zubiaga A.,2024,,,"EACL 2024 - 18th Conference of the European Chapter of the Association for Computational Linguistics, Findings of EACL 2024",,1.0,Conference paper,"Claim verification is an essential step in the automated fact-checking pipeline which assesses the veracity of a claim against a piece of evidence. In this work, we explore the potential of few-shot claim verification, where only very limited data is available for supervision. We propose MAPLE (Micro Analysis of Pairwise Language Evolution), a pioneering approach that explores the alignment between a claim and its evidence with a small seq2seq model and a novel semantic measure. Its innovative utilization of micro language evolution path leverages unlabelled pairwise data to facilitate claim verification while imposing low demand on data annotations and computing resources. MAPLE demonstrates significant performance improvements over SOTA baselines SEED, PET and LLaMA 2 across three fact-checking datasets: FEVER, Climate FEVER, and SciFact. Data and code are available here. © 2024 Association for Computational Linguistics.",Yes,"The paper titled “MAPLE: Micro Analysis of Pairwise Language Evolution for Few-Shot Claim Verification” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears as a peer‑reviewed conference proceeding (Findings of EACL 2024). The work directly investigates automated claim verification, a core truthfulness assessment task within the fact‑checking pipeline, and evaluates its approach on three established fact‑checking datasets (FEVER, Climate FEVER, SciFact). The abstract reports significant performance improvements over strong baselines, implying the use of standard evaluation metrics such as accuracy, precision, recall, or F1‑score. Consequently, the paper contributes relevant methodological and empirical insights to truthfulness assessment in fact‑checking.",prompt-CoT,"Yes

The paper titled “MAPLE: Micro Analysis of Pairwise Language Evolution for Few-Shot Claim Verification” should be included in the systematic review because it meets all the inclusion criteria. It is written in English and appears as a peer‑reviewed conference proceeding (Findings of EACL 2024). The work directly investigates automated claim verification, a core truthfulness assessment task within the fact‑checking pipeline, and evaluates its approach on three established fact‑checking datasets (FEVER, Climate FEVER, SciFact). The abstract reports significant performance improvements over strong baselines, implying the use of standard evaluation metrics such as accuracy, precision, recall, or F1‑score. Consequently, the paper contributes relevant methodological and empirical insights to truthfulness assessment in fact‑checking."
