embedding_model,topic_id,topic_label,document_id,score
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,5,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,6,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,7,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,11,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,13,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,14,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,19,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,20,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,24,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,25,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,28,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,29,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,32,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,38,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,43,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,51,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,60,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,80,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,82,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,85,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,94,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,95,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,98,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,99,
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,101,
