embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,33,,23.733232,12.424175,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,34,,23.635984,12.158647,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,60,,23.807117,12.3146,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,75,,23.89894,12.506322,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,81,,23.715376,12.43082,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,85,,23.825344,12.526396,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,141,,23.531158,12.86836,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,158,,23.56058,12.188019,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,194,,23.67851,12.477938,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,245,,23.617409,12.474088,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,252,,23.459665,12.469719,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,313,,22.31728,12.31095,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,367,,23.840492,12.332345,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,2,Misinformation & Propaganda,451,,23.605589,12.413868,0.4309285283088684,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.43",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",20,,20.031782,13.483177,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",25,,20.51386,14.048734,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",27,,20.181896,13.65725,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",99,,20.503231,14.06066,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",109,,20.586054,13.943719,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
distiluse-base-multilingual-cased-v1,3,"llms, llm",123,,20.674597,13.990414,0.42166605591773987,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.42",True
