embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,0,,8.113397,12.542449,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,3,,7.2722588,13.738997,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,9,,12.547859,13.277906,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,,9.676372,13.656007,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,15,,11.313327,12.905301,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,,12.174843,13.490745,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,19,,7.676321,13.483488,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,,10.053334,12.851018,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,22,,7.120348,13.551973,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,30,,12.154396,14.23829,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,,12.6715145,14.522321,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,36,,10.515028,13.366259,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,37,,11.713369,11.7819395,2.7344415187835693,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765, 1.0)","T-1
2.73",False
