embedding_model,topic_id,topic_label,document_id,score
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,9,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,10,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,13,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,16,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,17,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,19,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,21,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,22,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,24,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,29,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,35,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,37,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,38,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,39,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,40,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,42,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,46,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,49,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,51,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,53,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,58,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,65,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,66,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,70,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,82,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,84,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,87,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,88,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,89,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,90,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,91,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,92,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,93,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,94,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,95,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,96,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,98,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,101,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,102,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,107,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,108,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,110,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,111,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,112,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,115,
distiluse-base-multilingual-cased-v1,-1,Misinformation & Propaganda,121,
