topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,268,"information, fake, news, detection, model, misinformation, media, social, data, using"
0,T000,Misinformation & Propaganda,33,"news, propagation, fake, graph, detection, methods, user, semantic, users, social"
1,T001,Fact-Checking & Verification,32,"explanations, factchecking, fact, claim, reasoning, verification, explanation, explainable, veracity, claims"
2,T002,Misinformation & Propaganda,30,"machine, svm, logistic, regression, news, vector, forest, fake, random, algorithms"
3,T003,Misinformation & Propaganda,24,"news, fake, severity, social, detection, online, people, based, media, false"
4,T004,Misinformation & Propaganda,20,"workers, crowd, crowdsourcing, truthfulness, assessments, statements, notes, misinformation, epistemic, judgments"
5,T005,Fact-Checking & Verification,20,"factchecking, claims, evidence, claim, factcheckers, stances, leaked, approaches, verification, afc"
6,T006,Misinformation & Propaganda,19,"blockchain, technology, news, chain, media, social, digital, fake, immutable, ethereum"
7,T007,"llms, llm",18,"llms, llm, hallucinations, language, models, large, generation, climate, hallucination, factual"
8,T008,Misinformation & Propaganda,17,"news, participants, fake, articles, people, true, reasoning, ai, analytical, real"
9,T009,Credibility Assessment,16,"trustworthiness, information, trust, sns, credibility, online, islamic, factors, users, social"
10,T010,Misinformation & Propaganda,16,"multimodal, image, visual, detection, crossmodal, features, representation, fake, unimodal, text"
11,T011,Credibility Assessment,14,"twitter, credibility, tweets, microblogs, rumors, microblog, tweet, users, features, credible"
12,T012,"claim, pipeline",13,"claim, pipeline, evidence, retrieval, claims, document, base, sentences, corpus, query"
13,T013,"evidence, graph",13,"evidence, graph, fact, fever, verification, claim, sentences, attention, structures, structure"
14,T014,Misinformation & Propaganda,13,"bert, transformers, news, transformer, fake, classification, models, tamil, accuracy, language"
15,T015,"images, image",12,"images, image, forged, deepfake, deep, forgery, detection, cheapfakes, cheapfake, proposed"
16,T016,"fact, multiclaim",12,"fact, multiclaim, claim, fever, evidence, verification, checking, statement, claims, relevant"
17,T017,Misinformation & Propaganda,12,"explainable, fake, detection, news, explainability, transparency, debunking, piece, osn, semantics"
18,T018,Misinformation & Propaganda,12,"lstm, long, memory, shortterm, media, social, berdledcd, fake, mbilstm, weight"
19,T019,"verbal, cues",11,"verbal, cues, details, statements, statement, cbca, lie, liars, participants, scan"
20,T020,Misinformation & Propaganda,11,"disinformation, annotations, dataset, articles, defakts, annotation, argumentation, sources, sentences, detailed"
21,T021,Misinformation & Propaganda,11,"news, fake, dnfn, fnnet, model, features, samples, branch, network, detection"
22,T022,Misinformation & Propaganda,11,"covid19, ccfd, misinformation, students, infodemic, covid19related, votes, msw, genetically, organisms"
23,T023,Misinformation & Propaganda,11,"social, news, fake, content, media, publishers, deep, learning, models, features"
