embedding_model,topic_id,topic_label,document_id,score
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,8,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,17,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,20,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,24,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,25,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,26,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,27,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,32,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,33,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,36,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,37,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,43,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,46,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,47,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,49,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,52,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,53,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,55,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,57,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,58,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,60,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,61,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,62,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,63,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,65,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,73,
