topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,363,"news, fake, information, detection, model, social, media, content, learning, veracity"
0,T000,Misinformation & Propaganda,25,"news, headlines, participants, analytical, reasoning, false, true, misinformation, vs, perceived"
1,T001,Fact-Checking & Verification,22,"explanations, reasoning, factchecking, fact, verification, explainable, claim, human, claims, systems"
2,T002,"discovery, truth",21,"discovery, truth, sensing, sources, observations, data, claims, problem, factfinding, big"
3,T003,"fact, checking",17,"fact, checking, knowledge, multiclaim, statement, evidence, claims, category, kg, verification"
4,T004,Crowdsourced Analysis,17,"workers, crowd, crowdsourcing, truthfulness, crowdsourced, statements, notes, assessments, experts, judgments"
5,T005,Misinformation & Propaganda,17,"bert, transformers, news, layer, fake, lstm, deep, accuracy, recurrent, models"
6,T006,"lab, task",16,"lab, task, english, checkthat, asks, evaluation, arabic, edition, overview, participating"
7,T007,"evidence, graph",15,"evidence, graph, claim, verification, fact, fever, attention, sentences, interaction, label"
8,T008,Misinformation & Propaganda,15,"techniques, deep, review, fake, learning, berdledcd, deceptive, challenges, detection, bdo"
9,T009,"deception, verbal",15,"deception, verbal, cues, details, statements, statement, cbca, liars, lie, iq"
10,T010,Journalism & Media Studies,15,"blockchain, technology, news, ai, media, social, location, immutable, ethereum, transparent"
11,T011,Misinformation & Propaganda,15,"machine, svm, regression, logistic, forest, random, vector, news, bayes, fake"
12,T012,Misinformation & Propaganda,14,"bilstm, deep, proposed, fake, news, model, lstm, mbilstm, learning, classification"
13,T013,Journalism & Media Studies,14,"images, image, forensics, decontextualization, media, message, multimedia, text, textual, social"
14,T014,Misinformation & Propaganda,13,"health, medical, domain, hclaime, online, healthrelated, web, results, misinformation, knowledge"
15,T015,Misinformation & Propaganda,12,"comments, news, fake, detection, user, propose, predictions, semantics, entity, users"
16,T016,Misinformation & Propaganda,11,"models, news, fake, media, fnnet, social, publishers, mibemc, deep, people"
17,T017,Misinformation & Propaganda,11,"covid19, ccfd, students, infodemic, pandemic, health, social, people, misinformation, law"
18,T018,"reviews, review",11,"reviews, review, deceptive, opinions, products, product, word, online, reviewers, applying"
19,T019,"images, deepfake",11,"images, deepfake, image, deep, forgery, forged, video, detection, deepfakes, seniors"
20,T020,"information, technologies",10,"information, technologies, people, internet, false, realtime, news, spread, consequences, streams"
21,T021,"evidence, sources",10,"evidence, sources, stances, leaked, inferred, afc, claims, claimverif, information, framework"
22,T022,"llms, responses",9,"llms, responses, climate, uncertainty, clinicians, ccvp, hallucinations, educational, chatgpt, myths"
23,T023,Credibility Assessment,9,"credibility, centrality, twitter, microblogs, ols, degree, proposed, users, social, user"
24,T024,Fact-Checking & Verification,9,"retrieval, summarization, factcheck, evidence, argumentation, multimodal, generation, claim, input, factchecking"
25,T025,"tweets, classification",9,"tweets, classification, manually, issues, dataset, domains, nonfake, training, tweet, largescale"
26,T026,Credibility Assessment,8,"epistemic, journalists, reuters, distrust, tracer, breaking, coordination, activity, trust, communities"
27,T027,Misinformation & Propaganda,8,"feature, features, linguistic, accuracy, news, frequency, fake, sets, model, welfake"
28,T028,"ensemble, transfer",8,"ensemble, transfer, adaboost, players, classifier, market, window, study, xgboost, random"
29,T029,"debiasing, causal",8,"debiasing, causal, fact, verification, propose, claimevidence, unlabeled, relevance, component, labeled"
30,T030,"claim, pipeline",8,"claim, pipeline, corpus, query, subclaims, vence, czech, premise, evidence, dataset"
31,T031,Misinformation & Propaganda,8,"covid, covid19, 19, rumours, virus, fake, tracking, tcn, phase, health"
32,T032,Misinformation & Propaganda,8,"news, click, fake, major, media, detection, ieee, studied, cost, problem"
33,T033,Credibility Assessment,7,"web, trustworthiness, credibility, page, information, users, trust, supportive, details, pages"
34,T034,Misinformation & Propaganda,7,"factbased, mitigation, methods, news, fake, comments, recommend, rec4mit, preference, users"
35,T035,Misinformation & Propaganda,7,"multimodal, manipulation, modalities, detection, discordance, modality, fake, crossattention, mfeb, dgm4"
36,T036,Misinformation & Propaganda,7,"convolutional, neural, fake, branch, cnn, model, news, network, features, hcan"
37,T037,Rumor on Social Media,7,"rumor, twitter, tweets, rumors, accounts, unverified, users, propagation, tweet, evidence"
38,T038,"interpretability, automated",7,"interpretability, model, automated, claim, external, predictions, evidence, neural, approaches, fast"
39,T039,Credibility Assessment,7,"tweets, genetically, organisms, credibility, users, modified, articles, dissemination, twitter, account"
40,T040,Crowdsourced Analysis,6,"recognition, physiological, facial, deception, deceptive, speech, emotion, human, presenters, cues"
41,T041,"gfake, receiver",6,"gfake, receiver, data, piece, osn, users, exfake, sender, amplified, based"
42,T042,Fact-Checking & Verification,6,"rumors, rumour, rumours, counterrumours, rumor, veracity, predicted, tweets, tweet, particle"
43,T043,"forums, cqa",6,"forums, cqa, debates, debate, task, forum, question, political, community, answering"
44,T044,Journalism & Media Studies,6,"flood, events, event, matrix, dissertation, project, disaster, social, media, credible"
45,T045,"websites, health",6,"websites, health, mers, honcode, consumers, search, internet, answers, readability, correct"
46,T046,Misinformation & Propaganda,6,"propagation, user, news, usdefake, users, network, fake, tree, early, duallayer"
47,T047,"phoney, papers",6,"phoney, papers, online, looks, crawling, learning, techniques, news, grown, available"
48,T048,Credibility Assessment,6,"posts, credential, media, credibility, social, source, participants, schemas, health, p001"
49,T049,Misinformation & Propaganda,6,"stance, argumentation, arastance, argument, support, disinformation, argumentative, determining, respect, task"
50,T050,Credibility Assessment,6,"wikipedia, coloring, articles, trust, expertise, wikipediaviz, readers, trustworthiness, domainspecific, wiki"
51,T051,Misinformation & Propaganda,6,"graph, news, topology, propagation, bidirectional, networks, fake, neural, imbalance, represent"
52,T052,Misinformation & Propaganda,5,"stance, news, proposal, collecting, fake, truefalse, corpus, methodological, architecture, norwegian"
53,T053,"colloquial, subquestions",5,"colloquial, subquestions, claims, political, claim, dialogue, factchecks, formal, factcheckers, politicians"
54,T054,Misinformation & Propaganda,5,"disinformation, articles, dataset, lastly, debunkerassistant, euvsdisinfo, prokremlin, originating, manipulative, czech"
55,T055,"trustworthiness, sources",5,"trustworthiness, sources, source, information, provider, reasons, objects, ratings, provides, facts"
56,T056,Misinformation & Propaganda,5,"videos, m3a, captions, outofcontext, cheapfakes, tiktec, video, misinformation, content, misleading"
57,T057,Credibility Assessment,5,"trustworthiness, sns, users, information, trust, tii, online, approach, level, 2005"
58,T058,Misinformation & Propaganda,5,"online, news, feature, plays, fake, social, selection, optimal, extraction, role"
59,T059,Fact-Checking & Verification,5,"claim, factchecking, automated, procedure, checkworthy, checkworthiness, checking, statements, systems, afc"
60,T060,Misinformation & Propaganda,5,"msw, misinformation, indicators, ai, aibased, toolbox, polarization, influence, social, peoples"
61,T061,Journalism & Media Studies,5,"communities, media, social, method, viewpoints, similarity, contrastive, avoid, conflicting, posts"
62,T062,NLP Methods,5,"synthetic, generator, tamil, adversarial, gd, machinegenerated, classification, text, discriminator, transformer"
63,T063,"checks, newsdeps",5,"checks, newsdeps, fade, service, citations, presented, components, present, does, origin"
64,T064,Misinformation & Propaganda,5,"german, labeled, articles, socalled, misinformation, regard, remarkably, carefullyassessed, individuallylabeled, wellbalanced"
65,T065,"knowledge, graphs",5,"knowledge, graphs, spo, entity, triplet, eknet, dtn, news, external, rationality"
66,T066,"multimodal, crossmodal",5,"multimodal, crossmodal, intermodal, intra, autoencoder, variational, contrastive, consistency, textualvisual, interclass"
67,T067,"llms, hallucination",5,"llms, hallucination, untruthful, hallucinations, llm, generation, tacs, capefnd, fnd, context"
