id,doi,title,author,year,keywords,venue,abstract,model_answer,model_explanation,version
5664,10.1007/978-3-030-60073-0_2,Identifying Linguistic Cues of Fake News Associated with Cognitive and Affective Processing: Evidence from NeuroIS,Lutz B.; Adam M.T.P.; Feuerriegel S.; Pröllochs N.; Neumann D.,2020,ECG; Eye tracking; Fake news; Information processing; Linguistic cues,Lecture Notes in Information Systems and Organisation,"False information such as “fake news” is widely believed to influence the opinions of individuals. So far, information systems (IS) literature is lacking a theoretical understanding of how users react and respond to fake news. In this study, we analyze drivers of cognitive and affective processing in terms of linguistic cues. For this purpose, we performed a NeuroIS experiment that involved N = 42 subjects with both eye tracking and heart rate measurements. We find that users spend more cognitive effort (more eye fixations) in assessing the veracity of fake news when it is characterized by better readability and less affective words. In addition, we find that fake news is more likely to trigger affective responses (lower heart rate variability) when it is characterized by a higher degree of analytic writing. Our findings contribute to IS theory by disentangling linguistic cues that help to explain how fake news is processed. The insights can aid researchers and practitioners in designing IS to better counter fake news. © 2020, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG.",Yes,"The paper titled ""Identifying Linguistic Cues of Fake News Associated with Cognitive and Affective Processing: Evidence from NeuroIS"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed book chapter, as indicated by its publication in ""Lecture Notes in Information Systems and Organisation"", indicating that it is a legitimate publication type. The paper directly investigates linguistic cues associated with cognitive and affective processing of fake news in the context of fact-checking. Furthermore, the study includes metrics such as eye tracking and heart rate measurements to assess how users process fake news, which contributes to the understanding of how to evaluate truthfulness in this domain. Although it does not explicitly mention traditional evaluation metrics like accuracy or precision, its focus on cognitive and affective processing provides a conceptual framework for understanding how individuals assess the veracity of information, thereby aiding in the development of methods for truthfulness assessment in fact-checking. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
838,10.1109/TCSS.2023.3322303,The Largest Social Media Ground-Truth Dataset for Real/Fake Content: TruthSeeker,Dadkhah S.; Zhang X.; Weismann A.G.; Firouzi A.; Ghorbani A.A.,2024,Automatic detection; bidirectional encoder representations from transformers (BERT) based model training; crowd-sourced data; fake and real ground truth; fake news detection; large feature dataset; twitter dataset; X dataset,IEEE Transactions on Computational Social Systems,"Automatic detection of fake content in social media such as Twitter is an enduring challenge. Technically, determining fake news on social media platforms is a straightforward binary classification problem. However, manually fact-checking even a small fraction of daily tweets would be nearly impossible due to the sheer volume. To address this challenge, we crawled and crowd-sourced one of the most extensive ground-truth tweet datasets. Utilizing Politifact and expert labeling as a base, it contains more than 180 000 labels from 2009 to 2022, creating five- and three-label classification using Amazon Mechanical Turk. We utilized multiple levels of validation to ensure an accurate ground-truth benchmark dataset. Then, we created and implemented numerous machine learning and deep learning algorithms, including different variations of bidirectional encoder representations from transformers (BERT)-based models and classical machine learning algorithms on the data to test the accuracy of real/fake tweet detection with both categories. Then, determining which versions gave us the highest result metrics. Further analysis is performed on the dataset by explicitly utilizing the DBSCAN text clustering algorithm combined with the YAKE keyword creation algorithm to determine topics' clustering and relationships. Finally, we analyzed each user in the dataset, determining their bot score, credibility score, and influence score for a better understanding of what type of Twitter user posts, their influence with each of their tweets, and if there were any underlying patterns to be drawn from each score concerning the truthfulness of the tweet. The experiment's results illustrated profound improvement for models dealing with short-length text in solving a real-life classification problem, such as automatically detecting fake content in social media.  © 2014 IEEE.",Yes,"The paper titled ""The Largest Social Media Ground-Truth Dataset for Real/Fake Content: TruthSeeker"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed journal article, as indicated by its publication in IEEE Transactions on Computational Social Systems, indicating that it is a legitimate publication type. The paper directly investigates automated detection of fake content in social media, specifically through the creation and utilization of a large ground-truth dataset for training and testing machine learning and deep learning models, including BERT-based models, in the context of fact-checking. Furthermore, the study includes evaluation metrics such as accuracy for real/fake tweet detection, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
3630,10.1109/IWQoS54832.2022.9812879,A Privacy-aware Distributed Knowledge Graph Approach to QoIS-driven COVID-19 Misinformation Detection,Shang L.; Kou Z.; Zhang Y.; Chen J.; Wang D.,2022,COVID-19; Misinformation; Quality of Information Service (QoIS); Social Media,"2022 IEEE/ACM 30th International Symposium on Quality of Service, IWQoS 2022","In this paper, we focus on the quality of information service (QoIS) of COVID-19-related information on social media. Our goal is to provide reliable COVID-19 information service by accurately detecting the misleading COVID-19 posts on social media by exploring the community-contributed COVID-19 fact data (CCFD) from different social media platforms. In particular, CCFD refers to the fact-checking reports that are submitted to each social media platform by its users and fact-checking professionals. Our work is motivated by the observation that CCFD often contains useful COVID-19 knowledge facts (e.g., ""COVID-19 is not a flu"") that can effectively facilitate the identification of misleading COVID-19 social media posts. However, CCFD is often private to the individual social media platform that owns it due to the data privacy concerns such as data copyright of CCFD and user profile information of CCFD contributors. In this paper, we leverage the CCFD from different social media platforms to accurately detect COVID19 misinformation while effectively protecting the privacy of CCFD. Two critical challenges exist in solving our problem: 1) how to generate privacy-aware COVID-19 knowledge facts from the platform-specific CCFD? 2) How to effectively integrate the privacy-aware COVID-19 knowledge facts from different social media platforms to correctly assess the truthfulness of a COVID19 post? To address these challenges, we develop CoviDKG, a COVID-19 distributed knowledge graph framework that constructs a set of CCFD-based knowledge graphs on individual social media platform and exchanges the privacy-aware COVID19 knowledge facts across different platforms to effectively detect misleading COVID-19 posts. We evaluate CoviDKG on two real-world social media datasets and the results show that CoviDKG achieves significant performance gains compared to state-of-the-art baselines in accurately detecting misleading COVID-19 posts on social media.  © 2022 IEEE.",Yes,"The paper titled ""A Privacy-aware Distributed Knowledge Graph Approach to QoIS-driven COVID-19 Misinformation Detection"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed conference proceeding, as indicated by its publication in the 2022 IEEE/ACM 30th International Symposium on Quality of Service, IWQoS 2022, indicating that it is a legitimate publication type. The paper directly investigates COVID-19 misinformation detection using a distributed knowledge graph framework in the context of fact-checking. Furthermore, the study includes evaluation metrics to compare its performance against state-of-the-art baselines, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
6174,10.1145/3289600.3290996,ExFaKT: A Framework for Explaining Facts over Knowledge Graphs and Text,"Gad-Elrab, Mohamed H. and Stepanova, Daria and Urbani, Jacopo and Weikum, Gerhard",2019,"reasoning, knowledge graph, fact-checking, explainable evidence",Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,"Fact-checking is a crucial task for accurately populating, updating and curating knowledge graphs. Manually validating candidate facts is time-consuming. Prior work on automating this task focuses on estimating truthfulness using numerical scores which are not human-interpretable. Others extract explicit mentions of the candidate fact in the text as an evidence for the candidate fact, which can be hard to directly spot. In our work, we introduce ExFaKT, a framework focused on generating human-comprehensible explanations for candidate facts. ExFaKT uses background knowledge encoded in the form of Horn clauses to rewrite the fact in question into a set of other easier-to-spot facts. The final output of our framework is a set of semantic traces for the candidate fact from both text and knowledge graphs. The experiments demonstrate that our rewritings significantly increase the recall of fact-spotting while preserving high precision. Moreover, we show that the explanations effectively help humans to perform fact-checking and can also be exploited for automating this task.",Yes,"The paper titled ""ExFaKT: A Framework for Explaining Facts over Knowledge Graphs and Text"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates automated fact-checking techniques using background knowledge encoded in Horn clauses to generate human-comprehensible explanations for candidate facts in the context of fact-checking. Furthermore, the study includes evaluation metrics such as recall and precision, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
149,,TechWhiz@DravidianLangTech 2024: Fake News Detection Using Deep Learning Models,"['Kogilavani Shanmugavadivel', 'Malliga Subramanian', 'Sanjai R', 'Mohammed Sameer B', 'Motheeswaran K']",2024,,,"In the digital age, identifying fake news is essential when fake information travels quickly via social media platforms. This project employs machine learning techniques, including Random Forest, Logistic Regression, and Decision Tree, to distinguish between real and fake news. With the rise of news consumption on social media, it becomes essential to authenticate information shared on platforms like YouTube comments. The research emphasizes the need to stop spreading harmful rumors and focuses on authenticating news articles. The proposed model utilizes machine learning and natural language processing, specifically Support Vector Machines, to aggregate and determine the authenticity of news. To address the challenges of detecting fake news in this paper, describe the Machine Learning (ML) models submitted to ‘Fake News Detection in Dravidian Languages” at DravidianLangTech@EACL 2024 shared task. Four different models, namely: Naive Bayes, Support Vector Machine (SVM), Random forest, and Decision tree.",Yes,"The paper titled ""TechWhiz@DravidianLangTech 2024: Fake News Detection Using Deep Learning Models"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, although the specific venue type is not mentioned, the context suggests it is a peer-reviewed conference proceeding, indicating that it is a legitimate publication type focused on truthfulness assessment. The paper directly investigates fake news detection using machine learning techniques, including Random Forest, Logistic Regression, Decision Tree, and Support Vector Machines, in the context of fact-checking. Furthermore, the study implies an evaluation of these models through their application to detect fake news, which contributes to the understanding of how to assess truthfulness in this domain, even though specific evaluation metrics like accuracy or F1-score are not explicitly mentioned in the abstract. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking by proposing and utilizing machine learning models for authenticity determination.",prompt-CoT
8929,10.1109/ICMEW.2015.7169801,Towards the verification of image integrity in online news,Pasquini C.; Brunetta C.; Vinci A.F.; Conotter V.; Boato G.,2015,Media Verification; News,"2015 IEEE International Conference on Multimedia and Expo Workshops, ICMEW 2015","The widespread of social networking services allows users to share and quickly spread an enormous amount of digital contents. Currently, a low level of security and trustworthiness is applied to such information, whose reliability cannot be taken for granted due to the large availability of image editing software which allow any user to easily manipulate digital contents. This has a huge impact on the deception of users, whose opinion can be seriously influenced by altered media. In this work, we face the challenge of verifying online news by analyzing the images related to the particular news article. Our goal is to create an empirical system which helps in verifying the consistency of visually and semantically similar images used within different news articles on the same topic. Given a certain news online, our system identifies a set of images connected to the same topic and presenting common visual elements, which can be successively compared with the original ones and analyzed in order to discover possible inconsistencies also by means of multimedia forensics tools. © 2015 IEEE.",Yes,"The paper titled ""Towards the verification of image integrity in online news"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed conference proceeding, indicating that it is a legitimate publication type. The paper directly investigates the verification of image integrity in online news in the context of fact-checking, focusing on analyzing images related to news articles to verify their consistency and detect possible manipulations. Furthermore, although the abstract does not explicitly mention specific evaluation metrics like accuracy or precision, it implies a methodological framework for evaluating truthfulness through the use of multimedia forensics tools to discover inconsistencies in images used within different news articles on the same topic. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking by addressing the challenge of verifying online news through image analysis.",prompt-CoT
10518,10.1145/1805286.1805289,Judging the Credibility of Information Gathered from Face-to-Face Interactions,"Jensen, Matthew L. and Burgoon, Judee K. and Nunamaker, Jay F.",2010,"Credibility assessment, deception detection, decision-aids, human-computer interaction, information veracity, kinesics, linguistics",J. Data and Information Quality,"One of the most pernicious threats to information quality comes through perpetration of deception by information suppliers. Deception undermines many critical dimensions of information quality, such as accuracy, completeness, and believability. Despite this threat, information gatherers are ill equipped to assess the credibility of information suppliers. This work presents a prototype system that examines messages gathered during direct, face-to-face information gathering. The system unobtrusively identifies kinesic and linguistic features that may indicate deception in information suppliers’ messages. System use was found to significantly improve assessment ability in between-subjects and within-subjects tests. The improved ability to accurately assess credibility during face-to-face interactions should yield higher information quality.",Yes,"The paper titled ""Judging the Credibility of Information Gathered from Face-to-Face Interactions"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed journal article, as indicated by its publication in the Journal of Data and Information Quality, indicating that it is a legitimate publication type. The paper directly investigates deception detection and credibility assessment in face-to-face interactions in the context of information veracity, which relates to fact-checking. Furthermore, the study implies an evaluation of the system's effectiveness through between-subjects and within-subjects tests, showing significant improvement in assessment ability, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
1861,,Claim-Dissector: An Interpretable Fact-Checking System with Joint Re-ranking and Veracity Prediction,"['Martin Fajcik', 'Petr Motlicek', 'Pavel Smrz']",2023,,,"We present Claim-Dissector: a novel latent variable model for fact-checking and analysis, which given a claim and a set of retrieved evidence jointly learns to identify: (i) the relevant evidences to the given claim (ii) the veracity of the claim. We propose to disentangle the per-evidence relevance probability and its contribution to the final veracity probability in an interpretable way — the final veracity probability is proportional to a linear ensemble of per-evidence relevance probabilities. In this way, the individual contributions of evidences towards the final predicted probability can be identified. In per-evidence relevance probability, our model can further distinguish whether each relevant evidence is supporting (S) or refuting (R) the claim. This allows to quantify how much the S/R probability contributes to final verdict or to detect disagreeing evidence. Despite its interpretable nature, our system achieves results competetive with state-of-the-art on the FEVER dataset, as compared to typical two-stage system pipelines, while using significantly fewer parameters. Furthermore, our analysis shows that our model can learn fine-grained relevance cues while using coarse-grained supervision and we demonstrate it in 2 ways. (i) We show that our model can achieve competitive sentence recall while using only paragraph-level relevance supervision. (ii) Traversing towards the finest granularity of relevance, we show that our model is capable of identifying relevance at the token level. To do this, we present a new benchmark TLR-FEVER focusing on token-level interpretability — humans annotate tokens in relevant evidences they considered essential when making their judgment. Then we measure how similar are these annotations to the tokens our model is focusing on.",Yes,"The paper titled ""Claim-Dissector: An Interpretable Fact-Checking System with Joint Re-ranking and Veracity Prediction"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, although the specific venue type is not provided, the context suggests it is a peer-reviewed publication, indicating that it is a legitimate publication type focused on truthfulness assessment. The paper directly investigates automated fact-checking and veracity prediction in the context of fact-checking, as evidenced by its proposal of a novel latent variable model for jointly learning to identify relevant evidences and the veracity of claims. Furthermore, the study implies the use of evaluation metrics by comparing its results competitively with state-of-the-art on the FEVER dataset, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
2402,10.1109/CVPR52729.2023.00667,Detecting and Grounding Multi-Modal Media Manipulation,Shao R.; Wu T.; Liu Z.,2023,body; gesture; Humans: Face; movement; pose,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,"Misinformation has become a pressing issue. Fake media, in both visual and textual forms, is widespread on the web. While various deepfake detection and text fake news detection methods have been proposed, they are only designed for single-modality forgery based on binary classification, let alone analyzing and reasoning subtle forgery traces across different modalities. In this paper, we high-light a new research problem for multi-modal fake media, namely Detecting and Grounding Multi-Modal Media Manipulation (DGM4). DGM4 aims to not only detect the authenticity of multi-modal media, but also ground the manipulated content (i.e., image bounding boxes and text tokens), which requires deeper reasoning of multi-modal media manipulation. To support a large-scale investigation, we construct the first DGM4 dataset, where image-text pairs are manipulated by various approaches, with rich annotation of diverse manipulations. Moreover, we propose a novel HierArchical Multi-modal Manipulation rEasoning tRansformer (HAMMER) to fully capture the fine-grained interaction between different modalities. HAMMER performs 1) manipulation-aware contrastive learning between two uni-modal encoders as shallow manipulation reasoning, and 2) modality-aware cross-attention by multi-modal aggregator as deep manipulation reasoning. Dedicated manipulation detection and grounding heads are integrated from shallow to deep levels based on the interacted multi-modal information. Finally, we build an extensive bench-mark and set up rigorous evaluation metrics for this new research problem. Comprehensive experiments demonstrate the superiority of our model; several valuable observations are also revealed to facilitate future research in multi-modal media manipulation. © 2023 IEEE.",Yes,"The paper titled ""Detecting and Grounding Multi-Modal Media Manipulation"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed conference proceeding, as indicated by its publication in the Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition, indicating that it is a legitimate publication type. The paper directly investigates multi-modal media manipulation detection and grounding in the context of fact-checking, focusing on detecting the authenticity of multi-modal media and analyzing subtle forgery traces across different modalities. Furthermore, the study includes rigorous evaluation metrics for this new research problem, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
2397,10.1007/978-3-031-13150-9_21,LSTM Based Advanced Fake News Detection,Aditya; Sihag V.; Choudhary G.,2023,,Lecture Notes in Networks and Systems,"The digital era is proliferating, and we are in a time where we interact with lots of information in many ways. Life has become more sensitive with social media, and in the present scenario, users’ activity on social media has become more frequent. The impact of social media and the news shared over it directly impacts the user. Social media is a powerful tool that can spread word of mouth in a fraction of a second. There is a variety of content and information shared all over social media and other information sources. This mystifies the user to agree on whether it is genuine or fake news. Social media has given so much power to the user that they immediately start expressing their views and concerns without checking the authenticity of the posted content. As a result, the user shares the news and becomes a spreader of fake news. This is a challenging task for the government and the country’s citizens. The most popular form of unauthenticated information is rumors and fake news, and this should be combated as early as possible before it takes any dramatic consequence. For this, we propose a solution where a long short term memory(LSTM) model is used to detect the fake news, and the proposed approach attained the accuracy of 98%. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Yes,"The paper titled ""LSTM Based Advanced Fake News Detection"" should be included in the systematic review because it meets all the inclusion criteria. Firstly, the paper is written in English, which satisfies the language requirement. Secondly, it is a peer-reviewed conference proceeding, as indicated by its publication in Lecture Notes in Networks and Systems, indicating that it is a legitimate publication type. The paper directly investigates the detection of fake news using a long short-term memory (LSTM) model in the context of fact-checking. Furthermore, the study includes evaluation metrics, specifically mentioning an accuracy of 98%, which contributes to the understanding of how to evaluate truthfulness in this domain. Overall, the paper provides a relevant contribution to the field of truthfulness assessment in fact-checking.",prompt-CoT
