embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-mpnet-base-v2,0,Misinformation & Propaganda,141,,-0.80605245,8.978976,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,150,,-0.7113545,9.065871,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,151,,-1.0218645,8.767118,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,154,,-0.9448104,8.845318,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,163,,-0.9023027,8.884991,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,261,,-0.9207924,8.8672695,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,319,,-0.8083197,8.97993,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,321,,-0.91816527,8.871637,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,327,,-0.72418696,9.054157,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,339,,-1.0713112,8.7180805,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,341,,-0.9586646,8.824217,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,376,,-0.64920336,9.1322565,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,457,,-0.69872206,9.074676,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,458,,-1.0493662,8.740016,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,462,,-0.8708619,8.914794,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,557,,-1.0276973,8.762255,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,559,,-0.81568074,8.973109,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,717,,-0.9896473,8.801446,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,729,,-0.9466099,8.843327,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,732,,-0.6533579,9.131264,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,734,,-0.8221381,8.957856,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,760,,-0.6445063,9.135611,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,763,,-1.1329101,8.649655,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,767,,-0.77160037,9.016175,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,781,,-0.8883266,8.902091,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,788,,-0.6800334,9.100039,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,0,Misinformation & Propaganda,789,,-0.6595324,9.127277,0.23801498115062714,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.24",True
all-mpnet-base-v2,3,Fact-Checking & Verification,0,,0.7736301,-2.7216153,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
all-mpnet-base-v2,3,Fact-Checking & Verification,19,,0.7371192,-2.7427619,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
all-mpnet-base-v2,3,Fact-Checking & Verification,43,,0.6297224,-2.6785595,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
all-mpnet-base-v2,3,Fact-Checking & Verification,183,,0.75429076,-2.7649963,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
all-mpnet-base-v2,3,Fact-Checking & Verification,212,,0.4206637,-2.4548986,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
all-mpnet-base-v2,3,Fact-Checking & Verification,305,,0.70572186,-2.8913286,0.21141758561134338,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.21",True
