topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,157,"news, fake, information, social, model, media, accuracy, detection, content, models"
0,T000,Misinformation & Propaganda,22,"news, fake, feature, learning, features, detection, machine, deep, models, accuracy"
1,T001,Misinformation & Propaganda,20,"news, fake, detection, semantic, methods, propagation, early, graph, content, knowledge"
2,T002,Misinformation & Propaganda,13,"workers, crowdsourcing, crowd, statements, truthfulness, assessments, reliable, deception, scale, misinformation"
3,T003,Fact-Checking & Verification,13,"stance, rumor, conversation, stances, rumors, multitask, veracity, controversies, classification, sequence"
4,T004,"discovery, sensing",12,"discovery, sensing, truth, observations, sources, claims, data, mws, reliability, factfinding"
5,T005,Fact-Checking & Verification,12,"rumor, rumour, rumors, rumours, tweets, twitter, veracity, social, detection, losird"
6,T006,"evidence, graph",12,"evidence, graph, fever, fact, claim, verification, sentences, attention, structures, mechanism"
7,T007,Misinformation & Propaganda,11,"covid19, people, pandemic, fake, learning, news, social, twitter, health, dataset"
8,T008,Misinformation & Propaganda,10,"classifier, machine, classification, ensemble, classifiers, fake, news, learning, decision, information"
9,T009,"fact, checking",9,"fact, checking, multiclaim, statement, knowledge, category, kg, kgs, claims, multiple"
10,T010,Misinformation & Propaganda,9,"disinformation, analytical, articles, reasoning, bdo, news, associated, real, ilp, argumentation"
11,T011,Misinformation & Propaganda,9,"machine, logistic, regression, news, svm, fake, platforms, false, social, result"
12,T012,"fever, wikipedia",9,"fever, wikipedia, verification, task, claim, evidence, fact, retrieval, claims, documents"
13,T013,"sources, information",9,"sources, information, discovery, trustworthiness, truth, source, values, claims, inferred, facts"
14,T014,"claim, verification",9,"claim, verification, claimevidence, causal, evidence, pipeline, fact, labeled, debiasing, data"
15,T015,"explanations, reasoning",8,"explanations, reasoning, claims, verification, explanation, fact, proofs, counterfactual, folk, claim"
16,T016,Misinformation & Propaganda,8,"llms, detectors, humanwritten, untruthful, llm, machinegenerated, news, language, fake, hallucinations"
17,T017,Misinformation & Propaganda,8,"multimodal, crossmodal, unimodal, contrastive, intermodal, fake, news, detection, intra, images"
18,T018,Misinformation & Propaganda,8,"detectysf, news, detection, fake, plms, explainable, debunking, adversarial, fend, plm"
19,T019,Rumor on Social Media,8,"rumor, dnn, models, gdart, learning, attention, information, extract, node, tweet"
20,T020,Fact-Checking & Verification,7,"claim, query, retrieval, base, given, subclaims, premise, veracity, claims, knowledge"
21,T021,Fact-Checking & Verification,7,"multimodal, evidence, retrieval, images, modalities, chartbert, factchecking, mocheg, different, claim"
22,T022,Fact-Checking & Verification,7,"lab, task, political, claim, factchecking, checkthat, asks, tasks, debate, checkworthiness"
23,T023,Misinformation & Propaganda,7,"visual, multimodal, textual, feature, fake, news, fusion, representation, proposed, text"
24,T024,Misinformation & Propaganda,7,"social, berdledcd, media, weight, mbilstm, news, fake, optimization, drn, adam"
25,T025,Fact-Checking & Verification,7,"factchecking, streams, debates, live, checks, algorithmic, ai, models, annotation, llms"
26,T026,Misinformation & Propaganda,7,"media, misinformation, social, md, communities, intent, spo, twitter, manually, learning"
27,T027,Misinformation & Propaganda,7,"bert, transformers, news, fake, articles, results, generalisation, pam, networks, models"
28,T028,"medical, health",6,"medical, health, healthrelated, online, medfact, trusted, information, binary, healthcare, sentences"
29,T029,Credibility Assessment,6,"centrality, users, twitter, popularity, tweets, trustworthiness, measures, credibility, used, social"
30,T030,Rumor on Social Media,6,"image, images, tampering, news, verification, microblogs, manipulated, forensic, online, analysis"
31,T031,Misinformation & Propaganda,5,"recurrent, neural, bilstm, news, attentionbased, fake, hcan, 9959, public, models"
32,T032,Journalism & Media Studies,5,"et, al, ai, model, svms, vector, social, forest, support, media"
33,T033,Rumor on Social Media,5,"multimodal, contents, message, image, false, monitor, detection, reports, information, rumors"
34,T034,"title, layer",5,"title, layer, shall, news, vector, sentences, word, lstm, proposition, figure"
35,T035,"video, cheapfakes",5,"video, cheapfakes, forgeries, images, manipulation, integrity, image, wcbnet, outofcontext, technique"
36,T036,Credibility Assessment,5,"event, microblog, tweets, microblogs, credibility, viewpoints, credible, false, topics, twitter"
37,T037,NLP Methods,5,"task, english, lab, transformer, german, subtask, article, copyright, arabic, bert"
38,T038,Fact-Checking & Verification,5,"explanations, factchecking, ebart, reasoning, faxplainac, qacheck, pacar, planning, feedback, actions"
39,T039,Fact-Checking & Verification,5,"web, search, runs, claims, factchecking, pages, checkworthiness, usefulness, teams, ranking"
