topic_id,label,label_full,n_docs,top_words
-1,T-01,Misinformation & Propaganda,233,"news, information, fake, social, model, detection, media, models, content, learning"
0,T000,Misinformation & Propaganda,27,"reviews, review, online, consumers, ecommerce, spam, products, reviewers, fake, opinion"
1,T001,Misinformation & Propaganda,26,"multimodal, textual, text, visual, news, fake, crossmodal, manipulation, image, representation"
2,T002,Misinformation & Propaganda,18,"machine, regression, news, logistic, svm, fake, algorithms, forest, random, learning"
3,T003,Fact-Checking & Verification,17,"stance, rumor, stances, conversation, rumors, classification, multitask, veracity, tree, channels"
4,T004,Journalism & Media Studies,17,"deepfake, deepfakes, digital, video, media, videos, enf, deep, detection, content"
5,T005,Fact-Checking & Verification,17,"claim, task, pages, factchecking, pipeline, evidence, claims, lab, verification, checkthat"
6,T006,Misinformation & Propaganda,16,"images, image, synthetic, generative, real, face, detectors, fake, portrait, classification"
7,T007,Misinformation & Propaganda,16,"lstm, bilstm, news, social, fake, long, memory, media, bidirectional, shortterm"
8,T008,Credibility Assessment,16,"credibility, user, twitter, tweets, microblogs, users, microblog, centrality, social, information"
9,T009,Misinformation & Propaganda,16,"crowd, workers, crowdsourcing, truthfulness, statements, misinformation, assessments, judgments, experts, scale"
10,T010,"bias, analytical",15,"bias, news, analytical, partisan, participants, ideological, reasoning, real, reflection, cognitive"
11,T011,Credibility Assessment,14,"trust, trustworthiness, users, user, information, social, flood, sns, estimation, media"
12,T012,"statement, web",14,"statement, web, facts, fact, data, search, explanations, msw, geographic, knowledge"
13,T013,"medical, health",14,"medical, health, healthrelated, clinicians, responses, healthcare, documents, results, information, myths"
14,T014,Fact-Checking & Verification,13,"explanations, fact, factchecking, claim, verification, veracity, reasoning, loren, proofs, ebart"
15,T015,"image, light",13,"image, light, jpeg, images, compression, digital, compressed, operations, forensic, cmf"
16,T016,Misinformation & Propaganda,13,"news, fake, arabic, detection, dataset, research, word, vietnamese, nersa, sve"
17,T017,"sensing, discovery",12,"sensing, discovery, observations, truth, sources, physical, noisy, data, estimator, claims"
18,T018,"tamper, image",11,"tamper, image, splicing, regions, tampered, forgery, edge, spliced, tampering, images"
19,T019,Misinformation & Propaganda,11,"stance, news, argumentation, fake, sentiment, truths, false, information, disinformation, fade"
20,T020,"evidence, fact",11,"evidence, fact, fever, verification, causal, graph, sentences, claim, reasoning, senet"
21,T021,"image, images",11,"image, images, tampering, superresolution, stereo, digital, recoloring, forgery, ssrgfd, recolored"
