embedding_model,topic_id,topic_label,document_id,score
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,2,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,7,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,11,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,14,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,15,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,28,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,33,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,34,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,35,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,40,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,42,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,46,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,50,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,55,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,59,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,61,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,64,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,66,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,67,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,71,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,72,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,76,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,78,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,80,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,81,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,83,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,84,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,89,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,91,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,92,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,94,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,98,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,99,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,100,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,101,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,102,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,105,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,110,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,111,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,113,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,116,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,119,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,120,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,124,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,125,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,126,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,136,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,137,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,138,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,140,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,142,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,147,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,148,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,153,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,154,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,160,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,162,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,167,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,170,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,176,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,178,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,182,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,186,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,188,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,189,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,190,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,191,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,194,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,205,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,206,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,210,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,211,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,213,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,215,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,218,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,220,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,227,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,231,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,236,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,240,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,243,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,246,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,248,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,252,
all-MiniLM-L6-v2,-1,Misinformation & Propaganda,253,
